	TRAVELRES13	TRAVELRES35	TRAVELRES37	TRAVELRES39	TRAVELRES57	TRAVELRES59	TRAVELRES63	TRAVELRES65	TRAVELRES67	TRAVELRES47	TRAVELRES23	TRAVELRES70	TRAVELRES21	TRAVELRES27	TRAVELRES1	TRAVELRES3	TRAVELRES5	TRAVELRES17	TRAVELRES19	TRAVELRES25	TRAVELRES41	TRAVELRES43	TRAVELRES45	TRAVELRES55	TRAVELRES7	TRAVELRES11	TRAVELRES15	TRAVELRES29	TRAVELRES31	TRAVELRES33	TRAVELRES61	TRAVELRES9	TRAVELRES53	TRAVELRES49	TRAVELRES51	TRAVELRES14	TRAVELRES36	TRAVELRES38	TRAVELRES40	TRAVELRES58	TRAVELRES60	TRAVELRES64	TRAVELRES66	TRAVELRES68	TRAVELRES48	TRAVELRES24	TRAVELRES69	TRAVELRES22	TRAVELRES28	TRAVELRES2	TRAVELRES4	TRAVELRES6	TRAVELRES18	TRAVELRES20	TRAVELRES26	TRAVELRES42	TRAVELRES44	TRAVELRES46	TRAVELRES56	TRAVELRES8	TRAVELRES12	TRAVELRES16	TRAVELRES30	TRAVELRES32	TRAVELRES34	TRAVELRES62	TRAVELRES10	TRAVELRES54	TRAVELRES50	TRAVELRES52
subjectID	TRAVELRES13_14	TRAVELRES35_36	TRAVELRES37_38	TRAVELRES39_40	TRAVELRES57_58	TRAVELRES59_60	TRAVELRES63_64	TRAVELRES65_66	TRAVELRES67_68	TRAVELRES47_48	TRAVELRES23_24	TRAVELRES70_71	TRAVELRES21_22	TRAVELRES27_28	TRAVELRES1_2	TRAVELRES3_4	TRAVELRES5_6	TRAVELRES17_18	TRAVELRES19_20	TRAVELRES25_26	TRAVELRES41_42	TRAVELRES43_44	TRAVELRES45_46	TRAVELRES55_56	TRAVELRES7_8	TRAVELRES11_12	TRAVELRES15_16	TRAVELRES29_30	TRAVELRES31_32	TRAVELRES33_34	TRAVELRES61_62	TRAVELRES9_10	TRAVELRES53_54	TRAVELRES49_50	TRAVELRES51_52	TRAVELRES13_14	TRAVELRES35_36	TRAVELRES37_38	TRAVELRES39_40	TRAVELRES57_58	TRAVELRES59_60	TRAVELRES63_64	TRAVELRES65_66	TRAVELRES67_68	TRAVELRES47_48	TRAVELRES23_24	TRAVELRES68_69	TRAVELRES21_22	TRAVELRES27_28	TRAVELRES1_2	TRAVELRES3_4	TRAVELRES5_6	TRAVELRES17_18	TRAVELRES19_20	TRAVELRES25_26	TRAVELRES41_42	TRAVELRES43_44	TRAVELRES45_46	TRAVELRES55_56	TRAVELRES7_8	TRAVELRES11_12	TRAVELRES15_16	TRAVELRES29_30	TRAVELRES31_32	TRAVELRES33_34	TRAVELRES61_62	TRAVELRES9_10	TRAVELRES53_54	TRAVELRES49_50	TRAVELRES51_52
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	23	25	28	23	24	25	25	28	25	28	24	28	24	25	25	25	26	24	26	25	25	23	29	23	23	22	23	24	27	28	26	34	24	28	29	23	25	28	23	24	25	25	28	25	28	24	28	24	25	25	25	26	24	26	25	25	23	29	23	23	22	23	24	27	28	26	34	24	28	29
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
gender	female	male	male	female	female	female	female	female	male	female	female	female	female	male	female	female	female	male	female	female	female	male	female	female	female	female	female	male	female	female	male	female	female	male	female	female	male	male	female	female	female	female	female	male	female	female	female	female	male	female	female	female	male	female	female	female	male	female	female	female	female	female	male	female	female	male	female	female	male	female
country	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE	SWE
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
