	DHAK_HAK	DHAK_HAJ	DHAK_HAI	DHAK_HAH	DHAK_HAG	DHAK_HAF	DHAK_HAE	DHAK_HAD	DHAK_HAC	DHAK_HAB	DHAK_HAV	DHAK_HAX	DHAK_HAL	DHAK_HAM	DHAK_HAN	DHAK_HAO	DHAK_HAP	DHAK_HAR	DHAK_HAT	DHAK_HAU	DHAK_C22_M	DHAK_C23_M	DHAK_C19_M	DHAK_C2_M	DHAK_C16_M	DHAK_C18_M	DHAK_C14_M	DHAK_C15_M	DHAK_C10_M	DHAK_C13_M	DHAK_C7_M	DHAK_C9_M	DHAK_C5_M	DHAK_C6_M	DHAK_C3_M	DHAK_C4_M	DHAK_C24_M	DHAK_C25_M	DHAK_HA	DHAK_HAA	DHAK_HDF	DHAK_HDE	DHAK_HDB	DHAK_HDA	DHAK_HDD	DHAK_HDC	DHAK_HCY	DHAK_HCW	DHAK_HD	DHAK_HCZ	DHAK_HCD	DHAK_HCB	DHAK_HCA	DHAK_HC	DHAK_HCJ	DHAK_HCI	DHAK_HCH	DHAK_HCF	DHAK_HCL	DHAK_HCK	DHAK_HN	DHAK_HO	DHAK_HL	DHAK_HM	DHAK_HJ	DHAK_HK	DHAK_HG	DHAK_HI	DHAK_HE	DHAK_HF	DHAK_HCU	DHAK_HCV	DHAK_HCQ	DHAK_HCR	DHAK_HCS	DHAK_HCT	DHAK_HCM	DHAK_HCN	DHAK_HCO	DHAK_HCP	DHAK_HBH	DHAK_HBG	DHAK_HB	DHAK_HAZ	DHAK_HBB	DHAK_HBA	DHAK_HBD	DHAK_HBC	DHAK_HBF	DHAK_HBE	DHAK_HZ	DHAK_HY	DHAK_HU	DHAK_HT	DHAK_HW	DHAK_HV	DHAK_HQ	DHAK_HP	DHAK_HS	DHAK_HR	DHAK_HBY	DHAK_HBZ	DHAK_HBK	DHAK_HBL	DHAK_HBI	DHAK_HBJ	DHAK_HBV	DHAK_HBW	DHAK_HBM	DHAK_HBR
subjectID	DHAK_HAK	DHAK_HAJ	DHAK_HAI	DHAK_HAH	DHAK_HAG	DHAK_HAF	DHAK_HAE	DHAK_HAD	DHAK_HAC	DHAK_HAB	DHAK_HAV	DHAK_HAX	DHAK_HAL	DHAK_HAM	DHAK_HAN	DHAK_HAO	DHAK_HAP	DHAK_HAR	DHAK_HAT	DHAK_HAU	DHAK_C22_M	DHAK_C23_M	DHAK_C19_M	DHAK_C2_M	DHAK_C16_M	DHAK_C18_M	DHAK_C14_M	DHAK_C15_M	DHAK_C10_M	DHAK_C13_M	DHAK_C7_M	DHAK_C9_M	DHAK_C5_M	DHAK_C6_M	DHAK_C3_M	DHAK_C4_M	DHAK_C24_M	DHAK_C25_M	DHAK_HA	DHAK_HAA	DHAK_HDF	DHAK_HDE	DHAK_HDB	DHAK_HDA	DHAK_HDD	DHAK_HDC	DHAK_HCY	DHAK_HCW	DHAK_HD	DHAK_HCZ	DHAK_HCD	DHAK_HCB	DHAK_HCA	DHAK_HC	DHAK_HCJ	DHAK_HCI	DHAK_HCH	DHAK_HCF	DHAK_HCL	DHAK_HCK	DHAK_HN	DHAK_HO	DHAK_HL	DHAK_HM	DHAK_HJ	DHAK_HK	DHAK_HG	DHAK_HI	DHAK_HE	DHAK_HF	DHAK_HCU	DHAK_HCV	DHAK_HCQ	DHAK_HCR	DHAK_HCS	DHAK_HCT	DHAK_HCM	DHAK_HCN	DHAK_HCO	DHAK_HCP	DHAK_HBH	DHAK_HBG	DHAK_HB	DHAK_HAZ	DHAK_HBB	DHAK_HBA	DHAK_HBD	DHAK_HBC	DHAK_HBF	DHAK_HBE	DHAK_HZ	DHAK_HY	DHAK_HU	DHAK_HT	DHAK_HW	DHAK_HV	DHAK_HQ	DHAK_HP	DHAK_HS	DHAK_HR	DHAK_HBY	DHAK_HBZ	DHAK_HBK	DHAK_HBL	DHAK_HBI	DHAK_HBJ	DHAK_HBV	DHAK_HBW	DHAK_HBM	DHAK_HBR
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	29.0	22.0	24.0	25.0	23.0	21.0	21.0	27.0	21.0	28.0	24.0	25.0	24.0	23.0	26.0	26.0	25.0	28.0	26.0	30.0	 6.0	 5.0	12.0	 4.0	16.0	 9.0	12.0	11.0	 7.0	11.0	 3.5	10.0	 9.0	 5.0	10.0	 6.0	 7.0	12.0	26.0	27.0	58.0	30.0	50.0	52.0	30.0	27.0	53.0	21.0	29.0	25.0	56.0	50.0	50.0	23.0	60.0	53.0	53.0	58.0	64.0	53.0	28.0	26.0	29.0	30.0	23.0	26.0	30.0	 2.4	22.0	30.0	61.0	58.0	52.0	62.0	50.0	58.0	62.0	57.0	57.0	71.0	26.0	29.0	23.0	23.0	23.0	23.0	20.0	19.0	30.0	30.0	29.0	 0.8	28.0	25.0	 0.6	 0.6	24.0	30.0	25.0	26.0	60.0	50.0	21.0	30.0	28.0	27.0	55.0	55.0	23.0	50.0
infant_age	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	240	NA	NA	180	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	child	child	schoolage	child	schoolage	child	schoolage	child	child	child	child	child	child	child	child	child	child	schoolage	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	child	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	senior	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	newborn	adult	adult	newborn	newborn	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
gender	female	female	male	female	female	female	female	female	female	female	male	male	female	female	female	female	male	male	male	male	male	male	female	female	male	male	male	female	female	male	male	male	male	male	male	female	female	female	male	female	female	female	female	male	male	female	female	male	male	male	male	female	female	male	male	male	male	male	female	male	male	male	male	male	male	female	male	female	male	male	male	female	female	male	female	male	female	male	female	male	female	female	male	male	male	male	male	male	female	female	female	female	female	female	female	female	female	male	male	male	female	female	female	female	female	female	female	female	female	female
BMI	22.03	23.23	26.03	21.26	22.30	28.84	19.22	23.87	28.12	19.28	33.80	16.04	23.25	19.22	22.03	20.82	21.71	25.51	22.65	27.84	11.80	12.10	12.50	13.26	13.25	12.80	12.85	12.60	12.45	12.92	11.65	11.20	12.65	12.80	12.86	13.20	11.56	11.20	22.72	21.50	25.70	22.43	25.10	22.50	22.33	20.42	26.80	22.18	20.71	20.61	24.38	21.10	32.04	23.52	22.91	23.38	25.86	25.51	36.40	23.83	22.58	23.78	23.40	23.38	27.88	22.30	22.47	11.12	22.23	24.38	19.50	19.90	23.00	20.80	17.90	19.20	22.90	17.90	20.80	19.20	23.92	26.63	22.20	21.13	28.82	25.10	17.61	25.90	17.08	23.30	28.04	NA	21.30	22.60	NA	NA	23.14	19.36	18.30	22.22	26.14	25.47	21.50	16.56	24.32	20.61	24.97	25.88	17.74	27.10
