	CA_C10001IS2006FE_t1M15	CA_C10001IS2009FE_t2M15	CA_C10001IS2012FE_t3M15	CA_C10002MS2016FE_t0M15	CA_C10002IS2023FE_t2M15	CA_C10002IS2026FE_t3M15	CA_C10002IS2028FE_t4M15	CA_C10003MS2030FE_t0M15	CA_C10003IS2040FE_t3M15	CA_C10003IS2042FE_t4M15	CA_C10005MS2062FE_t0M15	CA_C10005IS2066FE_t1M15	CA_C10005IS2069FE_t2M15	CA_C10005IS2077FE_t4M15	CA_C10006IS2084FE_t1M15	CA_C10006IS2087FE_t2M15	CA_C10006IS2091FE_t3M15	CA_C10006IS2095FE_t4M15	CA_C10006IS2095FE_t5M16	CA_C10007MS2098FE_t0M15	CA_C10007IS2102FE_t1M15	CA_C10007IS2105FE_t2M15	CA_C10007IS2110FE_t3M15	CA_C10007IS2114FE_t4M15	CA_C10007IS2113FE_t5M16	CA_C10008IS2120FE_t1M15	CA_C10008IS2123FE_t2M15	CA_C10008IS2127FE_t3M15	CA_C10008IS2131FE_t5M16	CA_C10009IS2138FE_t1M15	CA_C10009IS2141FE_t2M15	CA_C10009IS2149FE_t4M15	CA_C10009IS2145FE_t3M16	CA_C10009IS2149FE_t5M16	CA_C10009MS2134FE_t0M15	CA_C10015IS2235FE_t3M15	CA_C10015IS2246FE_t1M15	CA_C10015IS2249FE_t2M15	CA_C10015MS2242FE_t0M15	CA_C10019IS2318FE_t1M15	CA_C10019IS2321FE_t2M15	CA_C10019IS2329FE_t4M15	CA_C10019IS2352FE_t3M15	CA_C10019MS2314FE_t0M16	CA_C10019IS2329FE_t5M16	CA_C10020IS2336FE_t1M15	CA_C10020IS2339FE_t2M15	CA_C10020IS2343FE_t3M15	CA_C10020MS2332FE_t0M15	CA_C10020IS2347FE_t4M15	CA_C10020IS2345FE_t5M16	CA_C10023IS2390FE_t1M15	CA_C10023IS2393FE_t2M15	CA_C10023MS2386FE_t0M15	CA_C10023IS2397FE_t3M15	CA_C10023IS2401FE_t4M16	CA_C10023IS2401FE_t5M16	CA_C10024IS2408FE_t1M15	CA_C10024IS2411FE_t2M15	CA_C10024IS2415FE_t3M15	CA_C10024IS2419FE_t4M15	CA_C10024IS2419FE_t5M16	CA_C10026IS2444FE_t1M15	CA_C10026IS2449FE_t2M15	CA_C10026IS2451FE_t3M15	CA_C10026MS2440FE_t0M15	CA_C10026IS2465FE_t4M16	CA_C10029IS2496FE_t1M15	CA_C10029IS2499FE_t2M15	CA_C10029MS2492FE_t0M15	CA_C10029IS2503FE_t3M15	CA_C10031MS2526FE_t0M15	CA_C10031IS2537FE_t3M15	CA_C10031IS2541FE_t4M15	CA_C10031IS2530FE_t1M15	CA_C10031IS2541FE_t5M16	CA_C10032IS2548FE_t1M15	CA_C10032IS2551FE_t2M15	CA_C10032IS2555FE_t3M15	CA_C10032IS2559FE_t4M15	CA_C10032IS2559FE_t5M16	CA_C10032MS2544FE_t0M15	CA_C10034IS2584FE_t1M15	CA_C10034IS2587FE_t2M15	CA_C10034MS2580FE_t0M15	CA_C10034IS2591FE_t3M15	CA_C10034IS2595FE_t4M15	CA_C10035IS2602FE_t1M15	CA_C10035IS2605FE_t2M15	CA_C10035MS2598FE_t0M15	CA_C10035IS2609FE_t3M16	CA_C10035IS2913FE_t4M16	CA_C10039MS2670FE_t0M16	CA_C10039IS2677FE_t2M16	CA_C10039IS2681FE_t3M16	CA_C10039MS2669SA_t0M15	CA_C10042MS2724FE_t0M16	CA_C10042IS2731FE_t2M16	CA_C10042IS2735FE_t3M16	CA_C10042IS2739FE_t4M16	CA_C10042IS2739FE_t5M16	CA_C10043IS2749FE_t2M16	CA_C10043MS2742FE_t0M16	CA_C10049IS2854FE_t1M16	CA_C10049IS2861FE_t3M16	CA_C10049IS2866FE_t4M16	CA_C10049IS2866FE_t5M16	CA_C10049IS2857FE_t2M16	CA_C10049MS2850FE_t0M16	CA_C10052MS2904FE_t0M16	CA_C10052IS2908FE_t1M16	CA_C10052IS2911FE_t2M16	CA_C10052IS2915FE_t3M16	CA_C10052IS2920FE_t5M16	CA_C10055IS2962FE_t1M16	CA_C10055IS2965FE_t2M16	CA_C10055IS2969FE_t3M16	CA_C10055MS2958FE_t0M16	CA_C10055IS2973FE_t4M16
subjectID	C10001	C10001	C10001	C10002_mo	C10002	C10002	C10002	C10003_mo	C10003	C10003	C10005_mo	C10005	C10005	C10005	C10006	C10006	C10006	C10006	C10006	C10007_mo	C10007	C10007	C10007	C10007	C10007	C10008	C10008	C10008	C10008	C10009	C10009	C10009	C10009	C10009	C10009_mo	C10015	C10015	C10015	C10015_mo	C10019	C10019	C10019	C10019	C10019_mo	C10019	C10020	C10020	C10020	C10020_mo	C10020	C10020	C10023	C10023	C10023_mo	C10023	C10023	C10023	C10024	C10024	C10024	C10024	C10024	C10026	C10026	C10026	C10026_mo	C10026	C10029	C10029	C10029_mo	C10029	C10031_mo	C10031	C10031	C10031	C10031	C10032	C10032	C10032	C10032	C10032	C10032_mo	C10034	C10034	C10034_mo	C10034	C10034	C10035	C10035	C10035_mo	C10035	C10035	C10039_mo	C10039	C10039	C10039_mo	C10042_mo	C10042	C10042	C10042	C10042	C10043	C10043_mo	C10049	C10049	C10049	C10049	C10049	C10049_mo	C10052_mo	C10052	C10052	C10052	C10052	C10055	C10055	C10055	C10055_mo	C10055
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
body_subsite	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	 0	 0	 0	NA	 0	 0	 0	NA	 0	 0	29	 0	 0	 0	 0	 0	 0	 0	 0	31	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	38	 0	 0	 0	29	29	 0	 0	 0	35	 0	 0	 0	 0	43	 0	 0	 0	 0	34	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	38	 0	 0	 0	28	 0	28	 0	 0	 0	 0	 0	 0	 0	 0	 0	36	 0	 0	30	 0	 0	 0	 0	35	 0	 0	33	 0	 0	33	34	 0	 0	 0	 0	 0	NA	 0	 0	 0	 0	 0	34	45	 0	 0	 0	 0	 0	 0	 0	30	 0
infant_age	  1	  3	  7	NA	  3	  7	 30	NA	  7	 30	NA	  1	  3	 30	  1	  3	  7	 30	120	NA	  1	  3	  7	 30	120	  1	  3	  7	 30	  1	  3	 30	  7	120	NA	  7	  1	  3	NA	  1	  3	 30	  7	NA	120	  1	  3	  7	NA	 30	120	  1	  3	NA	  7	 30	120	  1	  3	  7	 30	120	  1	  3	  7	NA	 30	  1	  3	NA	  7	NA	  3	 30	  1	120	  1	  3	  7	 30	120	NA	  1	  3	NA	  7	 30	  1	  3	NA	  7	 30	NA	  3	  7	NA	NA	  3	  7	 30	120	  3	NA	  1	  7	 30	120	  3	NA	NA	  1	  3	  7	120	  1	  3	  7	NA	 30
age_category	newborn	newborn	newborn	adult	newborn	newborn	newborn	adult	newborn	newborn	adult	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	adult	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	adult	newborn	newborn	newborn	adult	adult	newborn	newborn	newborn	adult	newborn	newborn	newborn	newborn	adult	newborn	newborn	newborn	newborn	adult	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	adult	newborn	newborn	newborn	adult	newborn	adult	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	newborn	adult	newborn	newborn	adult	newborn	newborn	newborn	newborn	adult	newborn	newborn	adult	newborn	newborn	adult	adult	newborn	newborn	newborn	newborn	newborn	adult	newborn	newborn	newborn	newborn	newborn	adult	adult	newborn	newborn	newborn	newborn	newborn	newborn	newborn	adult	newborn
BMI	NA	NA	NA	22.8	NA	NA	NA	24.0	NA	NA	26.4	NA	NA	NA	NA	NA	NA	NA	NA	19.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.3	NA	NA	NA	18.4	18.4	NA	NA	NA	19.4	NA	NA	NA	NA	19.1	NA	NA	NA	NA	18.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.6	NA	NA	NA	24.0	NA	21.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	NA	NA	19.4	NA	NA	NA	NA	21.4	NA	NA	19.8	NA	NA	19.8	29.4	NA	NA	NA	NA	NA	18.9	NA	NA	NA	NA	NA	17.8	23.6	NA	NA	NA	NA	NA	NA	NA	20.2	NA
