	SRS011061	SRS011084	SRS011134	SRS011239	SRS011271	SRS011302	SRS011405	SRS011452	SRS011529	SRS011586	SRS012273	SRS012902	SRS013158	SRS013215	SRS013476	SRS013521	SRS013687	SRS013800	SRS013951	SRS014235	SRS014287	SRS014313	SRS014459	SRS014613	SRS014683	SRS014923	SRS014979	SRS015065	SRS015133	SRS015190	SRS015217	SRS015264	SRS015369	SRS015578	SRS015663	SRS015782	SRS015794	SRS015854	SRS015960	SRS016018	SRS016056	SRS016095	SRS016203	SRS016267	SRS016335	SRS016495	SRS016585	SRS016753	SRS016954	SRS016989	SRS017103	SRS017191	SRS017247	SRS017307	SRS017433	SRS017521	SRS017701	SRS017821	SRS018133	SRS018313	SRS018351	SRS018427	SRS018575	SRS018656	SRS018817	SRS019030	SRS019161	SRS019267	SRS019397	SRS019582	SRS019601	SRS019685	SRS019787	SRS019910	SRS019968	SRS020233	SRS020328	SRS020869	SRS021484	SRS021948	SRS022071	SRS022137	SRS022524	SRS022609	SRS022713	SRS023346	SRS023526	SRS023583	SRS023829	SRS023914	SRS023971	SRS024009	SRS024075	SRS024132	SRS024265	SRS024331	SRS024388	SRS024435	SRS024549	SRS024625	SRS042284	SRS042628	SRS043001	SRS043411	SRS043701	SRS045004	SRS045645	SRS045713	SRS047014	SRS047044	SRS048164	SRS048870	SRS049164	SRS049712	SRS049900	SRS049959	SRS049995	SRS050299	SRS050422	SRS050752	SRS050925	SRS051031	SRS051882	SRS052027	SRS052697	SRS053214	SRS053335	SRS053398	SRS054590	SRS054956	SRS055982	SRS056259	SRS056519	SRS057478	SRS057717	SRS058723	SRS058770	SRS062427	SRS063040	SRS063985	SRS064276	SRS064557	SRS064645	SRS065504	SRS075398	SRS077730	SRS078176
subjectID	HMP_2012_158458797	HMP_2012_158479027	HMP_2012_158499257	HMP_2012_158742018	HMP_2012_158802708	HMP_2012_158944319	HMP_2012_159247771	HMP_2012_159146620	HMP_2012_159166850	HMP_2012_159733294	HMP_2012_158337416	HMP_2012_158883629	HMP_2012_159369152	HMP_2012_159591683	HMP_2012_159207311	HMP_2012_159227541	HMP_2012_159268001	HMP_2012_159571453	HMP_2012_763496533	HMP_2012_763678604	HMP_2012_763536994	HMP_2012_763820215	HMP_2012_763577454	HMP_2012_763840445	HMP_2012_763961826	HMP_2012_763860675	HMP_2012_764062976	HMP_2012_763577454	HMP_2012_763901136	HMP_2012_763759525	HMP_2012_764143897	HMP_2012_763982056	HMP_2012_764042746	HMP_2012_764285508	HMP_2012_764487809	HMP_2012_764224817	HMP_2012_763435843	HMP_2012_764002286	HMP_2012_764325968	HMP_2012_764447348	HMP_2012_764508039	HMP_2012_764588959	HMP_2012_764649650	HMP_2012_764669880	HMP_2012_765074482	HMP_2012_159753524	HMP_2012_159915365	HMP_2012_160421117	HMP_2012_159611913	HMP_2012_159490532	HMP_2012_159551223	HMP_2012_159814214	HMP_2012_159510762	HMP_2012_159632143	HMP_2012_160319967	HMP_2012_160502038	HMP_2012_160582958	HMP_2012_160603188	HMP_2012_160158126	HMP_2012_160380657	HMP_2012_160178356	HMP_2012_160218816	HMP_2012_765094712	HMP_2012_765013792	HMP_2012_765135172	HMP_2012_763961826	HMP_2012_763496533	HMP_2012_765034022	HMP_2012_765560005	HMP_2012_763597684	HMP_2012_765620695	HMP_2012_763678604	HMP_2012_764669880	HMP_2012_764892411	HMP_2012_160643649	HMP_2012_160400887	HMP_2012_160704339	HMP_2012_160765029	HMP_2012_158479027	HMP_2012_158256496	HMP_2012_158337416	HMP_2012_638754422	HMP_2012_809635352	HMP_2012_158499257	HMP_2012_370425937	HMP_2012_246515023	HMP_2012_158802708	HMP_2012_159005010	HMP_2012_158883629	HMP_2012_159268001	HMP_2012_159369152	HMP_2012_159247771	HMP_2012_159510762	HMP_2012_159207311	HMP_2012_158944319	HMP_2012_159551223	HMP_2012_159713063	HMP_2012_159571453	HMP_2012_159591683	HMP_2012_159611913	HMP_2012_764811490	HMP_2012_764447348	HMP_2012_550534656	HMP_2012_763759525	HMP_2012_159814214	HMP_2012_604812005	HMP_2012_604812005	HMP_2012_404239096	HMP_2012_765074482	HMP_2012_764224817	HMP_2012_861967750	HMP_2012_764184357	HMP_2012_765074482	HMP_2012_823052294	HMP_2012_686765762	HMP_2012_765701615	HMP_2012_159227541	HMP_2012_763982056	HMP_2012_763536994	HMP_2012_765640925	HMP_2012_763860675	HMP_2012_764487809	HMP_2012_764143897	HMP_2012_159490532	HMP_2012_706846339	HMP_2012_159753524	HMP_2012_508703490	HMP_2012_675950834	HMP_2012_338793263	HMP_2012_737052003	HMP_2012_638754422	HMP_2012_764325968	HMP_2012_765094712	HMP_2012_370425937	HMP_2012_246515023	HMP_2012_763820215	HMP_2012_160158126	HMP_2012_763536994	HMP_2012_809635352	HMP_2012_763901136	HMP_2012_763840445	HMP_2012_764042746	HMP_2012_686765762	HMP_2012_764062976	HMP_2012_158883629	HMP_2012_159753524	HMP_2012_159227541
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
body_subsite	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	30	28	25	27	27	24	27	28	23	24	22	29	22	27	27	22	27	38	33	25	35	25	28	38	23	33	20	28	28	23	26	37	27	18	26	26	21	39	22	27	21	21	23	29	20	23	31	21	23	28	26	29	26	27	19	26	30	29	26	23	24	25	19	21	27	23	33	27	21	37	21	25	29	23	24	24	32	31	28	27	22	27	26	25	22	38	27	20	29	27	22	27	26	27	24	26	27	38	27	23	21	27	27	23	29	29	29	25	20	26	21	23	20	27	28	39	22	37	35	39	33	26	26	28	36	23	24	23	19	18	27	22	19	22	38	25	26	35	26	28	38	27	28	20	29	23	22
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	schoolage	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	schoolage	adult	adult	adult	adult	adult	adult	adult	schoolage	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	schoolage	schoolage	adult	adult	schoolage	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
gender	female	male	male	female	male	female	female	male	male	female	female	female	male	male	male	female	male	male	male	male	male	female	female	female	male	male	female	female	female	female	female	male	female	male	male	male	male	male	male	male	male	female	female	male	male	female	female	male	male	male	male	male	male	male	female	female	female	male	male	male	male	male	male	female	male	male	male	female	male	male	female	male	male	male	female	male	female	male	male	female	female	female	female	male	female	female	male	female	female	male	male	female	male	male	female	male	female	male	male	male	female	male	female	female	male	male	male	male	male	male	male	female	male	male	male	male	female	male	male	female	male	male	female	male	female	female	female	female	female	female	female	male	male	female	female	female	male	male	female	female	female	female	male	female	female	female	female
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
