	C16-20005-GH	C16-20006-GH	C16-20007-GH	C16-20008-GH	C16-20009-GH	C16-20010-GH	C16-20011-GH	C16-20029-GH	C16-20030-GH	C16-20032-GH	C16-20047-GH	C16-20048-GH	C16-20049-GH	C16-20050-GH	C16-20065-GH	C16-20066-GH	C16-20073-GH	C16-20074-GH	C16-20108-GH	C16-20110-GH	C16-20111-GH	C16-20112-GH	C16-20113-GH	C16-20124-GH	C16-20125-GH	C16-20126-GH	C16-20127-GH	C16-20138-GH	C16-20241-GH	C16-20242-GH	C16-20243-GH	C16-20244-GH	C16-20245-GH	C16-20246-GH	C16-20247-GH	C16-20273-GH	C16-20274-GH	C16-20275-GH	C16-20288-GH	C16-20292-GH	C16-20362-GH	C16-20363-GH	C16-20374-GH	C16-20375-GH
subjectID	C16-10022-GH_M	C16-10022-GH_F	C16-10022-GH_S1	C16-10022-GH_S2	C16-10025-GH_M	C16-10025-GH_F	C16-10025-GH_S1	C16-10056-GH_M	C16-10056-GH_F	C16-10056-GH_S1	C16-10074-GH_F	C16-10074-GH_M	C16-10074-GH_S1	C16-10074-GH_S2	C16-10106-GH_M	C16-10106-GH_F	C16-10106-GH_S1	C16-10106-GH_S2	C16-10146-GH_M	C16-10146-GH_S1	C16-10146-GH_S2	C16-10146-GH_S3	C16-10146-GH_S4	C16-10151-GH_M	C16-10151-GH_F	C16-10151-GH_S1	C16-10151-GH_S2	C16-10151-GH_S3	C16-10312-GH_M	C16-10312-GH_F	C16-10312-GH_S1	C16-10312-GH_S2	C16-10312-GH_S3	C16-10312-GH_S4	C16-10312-GH_S5	C16-10328-GH_M	C16-10328-GH_F	C16-10328-GH_S1	C16-10332-GH_F	C16-10332-GH_M	C16-10372-GH_M	C16-10372-GH_F	C16-10389-GH_M	C16-10389-GH_F
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	34	33	 7	 5	24	28	 1	28	NA	 5	45	36	 9	 7	34	41	 7	 6	40	15	12	 7	 6	38	43	12	10	 3	31	34	 7	 6	 5	 3	 0	31	34	10	41	25	20	34	24	31
age_category	adult	adult	child	child	adult	adult	child	adult	adult	child	adult	adult	child	child	adult	adult	child	child	adult	schoolage	schoolage	child	child	adult	adult	schoolage	child	child	adult	adult	child	child	child	child	newborn	adult	adult	child	adult	adult	adult	adult	adult	adult
country	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA
gender	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
number_reads	 36632244	 59637528	 74101786	 48994976	 55260992	 45396463	 45348679	 71784691	 52337025	 48118109	 45562571	 66901974	 44375161	 49876138	 39964593	 53473324	 23878413	 56455005	 39523248	 49549389	 52670192	 89056485	 54643887	 41699296	 41236651	 72428756	 60956249	 64857386	 85494734	 54434253	 32685169	 48449322	 28717616	 27685625	102080154	 50889112	 38498855	 27802355	 30607824	 31579677	 31738471	 32378414	 32468781	 37893462
number_bases	 3686981894	 5990210178	 7457636921	 4930069546	 5556584472	 4564825427	 4562477157	 7199626237	 5266205098	 4842657569	 4580346213	 6727578863	 4465448634	 5017358715	 4022111495	 5379135113	 2401182487	 5656194236	 3976371415	 4986240391	 5297276968	 8942529154	 5500766957	 4171423868	 4126562484	 7230493547	 6117098195	 6497316261	 8524138485	 5476649755	 3289174912	 4866574521	 2891398395	 2787089938	10239737311	 5123835933	 3874623661	 2797985423	 3072912893	 3169941877	 3196070467	 3260122447	 3268050851	 3815164710
minimum_read_length	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
median_read_length	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
family_member	mother	father	child	child	mother	father	child	mother	father	child	father	mother	child	child	mother	father	child	child	mother	child	child	child	child	mother	father	child	child	child	mother	father	child	child	child	child	child	mother	father	child	father	mother	mother	father	mother	father
family	TettAJ_2019_b_1	TettAJ_2019_b_1	TettAJ_2019_b_1	TettAJ_2019_b_1	TettAJ_2019_b_2	TettAJ_2019_b_2	TettAJ_2019_b_2	TettAJ_2019_b_3	TettAJ_2019_b_3	TettAJ_2019_b_3	TettAJ_2019_b_4	TettAJ_2019_b_4	TettAJ_2019_b_4	TettAJ_2019_b_4	TettAJ_2019_b_5	TettAJ_2019_b_5	TettAJ_2019_b_5	TettAJ_2019_b_5	TettAJ_2019_b_6	TettAJ_2019_b_6	TettAJ_2019_b_6	TettAJ_2019_b_6	TettAJ_2019_b_6	TettAJ_2019_b_7	TettAJ_2019_b_7	TettAJ_2019_b_7	TettAJ_2019_b_7	TettAJ_2019_b_7	TettAJ_2019_b_8	TettAJ_2019_b_8	TettAJ_2019_b_8	TettAJ_2019_b_8	TettAJ_2019_b_8	TettAJ_2019_b_8	TettAJ_2019_b_8	TettAJ_2019_b_9	TettAJ_2019_b_9	TettAJ_2019_b_9	TettAJ_2019_b_10	TettAJ_2019_b_10	TettAJ_2019_b_11	TettAJ_2019_b_11	TettAJ_2019_b_12	TettAJ_2019_b_12
curator	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi
NCBI_accession	SRR8791405	SRR8791404	SRR8791403	SRR8791402	SRR8791401	SRR8791400	SRR8791399	SRR8791398	SRR8791407	SRR8791406	SRR8791371	SRR8791370	SRR8791373	SRR8791372	SRR8791367	SRR8791366	SRR8791369	SRR8791368	SRR8791365	SRR8791364	SRR8791388	SRR8791389	SRR8791390	SRR8791391	SRR8791392	SRR8791393	SRR8791394	SRR8791395	SRR8791396	SRR8791397	SRR8791381	SRR8791380	SRR8791379	SRR8791378	SRR8791377	SRR8791376	SRR8791375	SRR8791374	SRR8791383	SRR8791382	SRR8791386	SRR8791387	SRR8791384	SRR8791385
k__Bacteria	100	100	99.99513	100	98.42213	99.70776	99.69915	99.9428	100	99.36908	99.96002	99.05609	99.87965	100	99.83846	91.25808	99.98832	99.46279	99.99226	99.92475	99.97509	99.99844	100	99.72658	100	93.14162	100	99.97074	99.94741	99.81216	100	100	100	99.99731	100	97.71549	100	99.99841	100	100	100	100	98.77942	54.65066
k__Bacteria|p__Firmicutes	56.78506	27.07937	58.83478	52.36798	31.10128	43.73621	69.88568	79.16956	36.8009	42.91214	73.90826	58.07917	81.03487	73.16313	60.00096	32.89998	76.30366	39.55796	87.02491	44.43112	87.20128	71.26203	41.82861	39.0827	55.89792	72.46483	59.36632	57.09263	39.92428	72.61537	34.2482	52.33661	61.37228	58.35505	47.65227	42.9923	43.71313	25.37703	51.67455	67.44165	68.97385	60.42138	74.6339	30.61357
k__Bacteria|p__Bacteroidetes	41.36967	62.382	38.7041	37.41169	58.64445	44.52292	13.71584	18.96672	60.1234	53.71182	23.11837	35.03614	16.39923	24.04767	29.37063	42.41098	9.03229	57.20129	12.03635	49.88102	12.08856	27.03816	53.39311	58.6096	41.18466	17.30361	39.80214	37.41383	55.71088	23.28205	63.96721	44.43511	34.64213	38.59743	18.40477	49.27098	35.7685	62.46991	38.47209	18.20185	28.45259	26.7822	5.46545	18.36182
k__Bacteria|p__Proteobacteria	1.54117	5.79063	1.92082	5.58681	4.72523	11.13129	15.88758	1.43553	2.79873	2.55675	2.70295	0.95106	1.46582	0.19189	9.80871	15.43895	8.59771	1.37806	0.55474	1.50594	0.5038	1.60815	3.80602	1.69047	2.12374	2.45242	0.73673	2.79423	4.0265	1.77103	1.73447	2.73023	3.65258	2.44002	31.65483	5.17467	18.28446	1.6922	9.37378	9.58249	1.80862	1.23801	1.94309	5.57807
k__Bacteria|p__Actinobacteria	0.22473	0.12569	0.53543	0.43471	0.27647	0.31072	0.21004	0.37098	0.27697	0.18837	0.10204	0.71476	0.16721	0.35818	0.65816	0.10806	6.04886	1.32547	0.14233	0.36559	0.18146	0.07937	0.14542	0.11983	0.16758	0.61428	0.04406	0.11667	0.28574	0.2036	0.04304	0.43886	0.33301	0.58062	0.66339	0.23433	2.22037	10.45927	0.47958	4.77401	0.72041	0.15955	0.76906	0.01155
k__Bacteria|p__Spirochaetes	0.07856	0	0	4.19881	3.67379	0	0	0	0	0	0	0	0	0.27337	0	0	0	0	0	0	0	0	0.7881	0	0	0	0	0	0	1.86872	0	0	0	0	0	0	0	0	0	0	0	11.39885	15.96792	0
k__Bacteria|p__Verrucomicrobia	8e-04	0	0	0	0.00092	0	0	0	0	0	0.1284	4.27496	0.81251	1.96576	0	0.4001	0	0	0.23393	3.74108	0	0.00328	0.03873	0.22398	0.43834	0.30647	0.05074	2.55338	0	0.07139	0.00177	0	0	0	1.54563	0.04321	0	0	0	0	0.04454	0	0	0.08565
k__Bacteria|p__Firmicutes|c__Clostridia	50.04169	22.44357	54.15697	47.46126	19.59255	29.71742	0.55032	77.26962	35.88022	36.96479	72.02418	57.09037	71.93521	71.09752	44.18649	27.47028	35.87692	29.37218	85.17727	40.23971	77.61878	46.39685	18.95794	35.63703	49.35537	70.58497	50.91615	54.25349	28.9384	63.21695	23.44487	38.92583	51.19866	44.30811	18.81139	38.03069	39.11975	19.65335	32.42347	28.43911	62.84304	53.44402	62.45681	28.85821
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	41.36967	62.382	38.7041	37.41169	58.64445	44.52292	13.71584	18.96672	60.1234	53.71182	23.11837	35.03614	16.39923	24.04767	29.37063	42.41098	9.03229	57.20129	12.03635	49.88102	12.08856	27.03816	53.39311	58.6096	41.18466	17.30361	39.80214	37.41383	55.71088	23.28205	63.96721	44.43511	34.64213	38.59743	18.40477	49.27098	35.7685	62.46991	38.47209	18.20185	28.45259	26.7822	5.46545	18.36182
k__Bacteria|p__Firmicutes|c__Negativicutes	4.14801	3.15827	3.38501	2.89707	6.17261	5.72857	65.61578	0.75297	0.18567	4.20779	1.17459	0.34925	4.85181	0.1408	13.44475	4.73576	31.38526	9.60683	0.60896	1.67928	1.00909	21.37628	14.37969	2.91589	0.71306	1.37512	7.88289	1.96288	4.28644	7.3417	8.8986	5.38306	0.22602	5.5408	21.50862	1.27263	1.57736	4.20126	5.99326	21.47552	1.15147	6.1273	1.19577	1.26273
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2.27616	1.47431	0.90758	1.19588	3.09281	1.3397	0.39876	0.96179	0.71331	0.53444	0.40747	0.56293	2.59238	1.88002	1.26549	0.45989	0	0.50678	0.45371	1.19884	6.37909	1.62675	0.87332	0	5.28016	0.01504	0.50078	0.05288	2.76712	2.05672	0.00106	1.30662	9.61546	1.74927	2.64544	3.39778	0.02374	0.59612	7.63044	4.11134	1.92575	0.58104	10.91305	0.26807
