	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
subjectID	CM_A01_I1	CM_A01_M0	CM_A04_I1	CM_A04_M0	CM_A06_I1	CM_A06_M0	CM_D02_I1	CM_D02_M0	CM_D03_I12	CM_D03_M0	CM_D04_I1	CM_D04_M0	CM_D05_I1	CM_D05_M0	CM_D06_I1	CM_D06_M0	CM_D07_I1	CM_D07_M0	CM_D08_I1	CM_D08_M0	CM_D09_I1	CM_D09_M0	CM_D10_I1	CM_D10_M0	CM_D11_I1	CM_D11_M0	CM_D13_I1	CM_D13_M0	CM_D15_I1	CM_D15_M0	CM_D21_I1	CM_D21_M0	CM_D21B_I12	CM_D24_I1	CM_D24_M0	CM_D26_M0	CM_D26A_I13	CM_D26AB_I1	CM_D26K_I12	CM_D33_I1	CM_D33_M0	CM_D39_I1	CM_D39_M0	CM_D40_I1	CM_D40_M0	CM_D43_I1	CM_D43_M0	CM_D48_M0	CM_D50_I1	CM_D50_M0
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	 1	30	 0	37	 0	30	 3	25	 0	25	 1	28	 2	45	 0	35	 1	22	 2	22	 3	27	 1	25	 1	25	 1	26	 4	28	 0	NA	 0	 2	25	30	 0	 0	 0	 0	27	 0	28	 0	26	 1	42	40	 1	27
age_category	child	adult	newborn	adult	newborn	adult	child	adult	newborn	adult	child	adult	child	adult	newborn	adult	child	adult	child	adult	child	adult	child	adult	child	adult	child	adult	child	adult	newborn	adult	newborn	child	adult	adult	newborn	newborn	newborn	newborn	adult	newborn	adult	newborn	adult	child	adult	adult	child	adult
country	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH	ETH
gender	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
