#SampleID	SAMD00114997
k__Bacteria	99.993
k__Eukaryota	0.0046
k__Viruses	0.0024
k__Bacteria|p__Actinobacteria	57.23291
k__Bacteria|p__Firmicutes	30.84206
k__Bacteria|p__Proteobacteria	9.61423
k__Bacteria|p__Fusobacteria	1.39363
k__Bacteria|p__Bacteroidetes	0.88654
k__Bacteria|p__Candidatus_Saccharibacteria	0.02363
k__Eukaryota|p__Ascomycota	0.0046
k__Viruses|p__Viruses_noname	0.0024
k__Bacteria|p__Actinobacteria|c__Actinobacteria	57.23291
k__Bacteria|p__Firmicutes|c__Clostridia	15.2727
k__Bacteria|p__Firmicutes|c__Bacilli	12.58776
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	9.61223
k__Bacteria|p__Firmicutes|c__Negativicutes	1.95485
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.39363
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.02674
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.88654
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.02363
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.0046
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.0024
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.00191
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	57.03061
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	15.2727
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	12.5658
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	6.78016
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2.83207
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.95485
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.39363
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.02674
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.88654
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.12942
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.07288
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.02363
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.02197
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.0046
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.0024
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.00191
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	57.03061
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	11.70365
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.12611
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	6.78016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	3.23445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2.83207
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.14063
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.8903
