#SampleID	SRR8865593
k__Bacteria	99.97516
k__Viruses	0.02484
k__Bacteria|p__Firmicutes	46.33028
k__Bacteria|p__Verrucomicrobia	40.56192
k__Bacteria|p__Bacteroidetes	10.95455
k__Bacteria|p__Actinobacteria	1.86237
k__Bacteria|p__Proteobacteria	0.17897
k__Bacteria|p__Fusobacteria	0.06832
k__Viruses|p__Viruses_noname	0.02484
k__Bacteria|p__Candidatus_Saccharibacteria	0.01875
k__Bacteria|p__Firmicutes|c__Clostridia	42.95263
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	40.56192
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	10.95455
k__Bacteria|p__Firmicutes|c__Negativicutes	2.8977
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.86237
k__Bacteria|p__Firmicutes|c__Bacilli	0.25218
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.22777
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.09831
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.07249
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.06832
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.02484
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.01875
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	42.95263
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	40.56192
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	10.95455
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.8977
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.50792
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.35445
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.22777
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.19911
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.09831
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.07249
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.06832
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.05306
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.02484
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.01875
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00818
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	40.56192
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	16.79994
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	16.2373
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	7.65483
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	4.94228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.54397
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.83249
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	2.17817
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2.05515
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.50792
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.35445
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.25613
