#SampleID	SAMD00114859
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	50.29619
k__Bacteria|p__Bacteroidetes	46.38778
k__Bacteria|p__Proteobacteria	1.92329
k__Bacteria|p__Actinobacteria	1.14076
k__Bacteria|p__Fusobacteria	0.25197
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	46.38778
k__Bacteria|p__Firmicutes|c__Clostridia	39.532
k__Bacteria|p__Firmicutes|c__Negativicutes	8.48058
k__Bacteria|p__Firmicutes|c__Bacilli	1.4451
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.29362
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.14076
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.83851
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.602
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.25197
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.02767
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	46.38778
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	39.532
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	8.48058
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.4451
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.22743
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.83851
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.67
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.602
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.44472
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.25197
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.04912
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.02767
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.02604
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.01707
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	34.30174
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	17.22973
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	17.08211
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	6.50348
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	5.32692
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	4.36722
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.77758
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.80048
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.9771
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.40682
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.22743
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.83851
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.67
