#SampleID	SRR5899013
k__Bacteria	100.0
k__Bacteria|p__Proteobacteria	57.27013
k__Bacteria|p__Firmicutes	34.95834
k__Bacteria|p__Bacteroidetes	7.32255
k__Bacteria|p__Actinobacteria	0.38839
k__Bacteria|p__Verrucomicrobia	0.06059
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	57.22899
k__Bacteria|p__Firmicutes|c__Clostridia	31.65632
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	7.32255
k__Bacteria|p__Firmicutes|c__Bacilli	1.74764
k__Bacteria|p__Firmicutes|c__Negativicutes	1.55
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.38839
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.06059
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.04114
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.00439
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	56.92439
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	31.65632
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	7.32255
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.74764
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.55
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.37483
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.30461
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.06059
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.04114
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01356
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.00439
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	56.92439
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	21.75313
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	6.06792
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	6.04956
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	3.54848
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.55
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.49672
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.1966
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.37483
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.30461
