#SampleID	SAMD00114967
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	50.23263
k__Bacteria|p__Firmicutes	40.41904
k__Bacteria|p__Proteobacteria	6.54813
k__Bacteria|p__Fusobacteria	2.63461
k__Bacteria|p__Actinobacteria	0.16317
k__Bacteria|p__Candidatus_Saccharibacteria	0.00242
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	50.23263
k__Bacteria|p__Firmicutes|c__Negativicutes	29.2444
k__Bacteria|p__Firmicutes|c__Clostridia	10.31839
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4.09907
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.63461
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.4301
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.7928
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.16317
k__Bacteria|p__Firmicutes|c__Bacilli	0.06345
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01895
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00242
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	50.23263
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	29.2444
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	10.31839
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	4.07876
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.63461
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.4301
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.7928
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.13758
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.06224
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.02324
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.02032
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01895
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00242
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00235
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00121
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	45.02845
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	29.09317
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.93409
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	4.07876
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.73578
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2.63461
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2.42976
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2.41895
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.7928
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.16981
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.15123
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.13758
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.13637
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.04945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.0439
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.02324
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.02032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.01978
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.01895
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.01834
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.01797
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.01733
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.01165
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.01138
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.00242
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.00235
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.00121
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.00034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	45.02845
