#SampleID	SAMEA3541507
k__Bacteria	99.66609
k__Viruses	0.33391
k__Bacteria|p__Firmicutes	45.29257
k__Bacteria|p__Bacteroidetes	34.15375
k__Bacteria|p__Actinobacteria	12.17963
k__Bacteria|p__Proteobacteria	6.72185
k__Bacteria|p__Verrucomicrobia	0.54286
k__Bacteria|p__Fusobacteria	0.46748
k__Viruses|p__Viruses_noname	0.33391
k__Bacteria|p__Synergistetes	0.26308
k__Bacteria|p__Candidatus_Saccharibacteria	0.04488
k__Bacteria|p__Firmicutes|c__Clostridia	40.11265
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	34.15375
k__Bacteria|p__Actinobacteria|c__Actinobacteria	12.17963
k__Bacteria|p__Firmicutes|c__Negativicutes	3.46866
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2.49984
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.41281
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.76899
k__Bacteria|p__Firmicutes|c__Bacilli	1.58674
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.54286
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.46748
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.33391
k__Bacteria|p__Synergistetes|c__Synergistia	0.26308
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.12451
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.04488
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.04021
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	40.11265
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	34.15375
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	8.06666
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	4.03698
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.46866
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2.49984
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.2564
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.76835
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.15693
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.54286
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.46748
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.4298
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.33391
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.26308
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.15641
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.12451
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.07599
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.04488
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.04021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00064
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	18.00187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	15.65371
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	12.0731
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	10.18897
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	8.06666
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	5.36002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	5.22601
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	4.03698
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	3.46866
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.33236
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	3.03481
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2.49984
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	2.2564
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	1.76835
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	1.15693
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.71104
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.57614
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.54286
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.34804
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Circoviridae	0.32666
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.29129
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	0.26308
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0.15641
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.12451
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.11944
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.10218
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.07599
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.04514
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.04488
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.04021
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.03634
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.03538
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.02786
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	0.00725
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.00064
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	18.00187
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	12.0731
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	8.06666
