#SampleID	SAMEA3541518
k__Bacteria	99.99713
k__Eukaryota	0.00287
k__Bacteria|p__Proteobacteria	95.59431
k__Bacteria|p__Firmicutes	3.66575
k__Bacteria|p__Actinobacteria	0.6242
k__Bacteria|p__Bacteroidetes	0.0949
k__Bacteria|p__Candidatus_Saccharibacteria	0.01754
k__Eukaryota|p__Ascomycota	0.00287
k__Bacteria|p__Fusobacteria	0.00044
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	95.58438
k__Bacteria|p__Firmicutes|c__Negativicutes	1.79372
k__Bacteria|p__Firmicutes|c__Clostridia	1.55603
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.6242
k__Bacteria|p__Firmicutes|c__Bacilli	0.29925
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0949
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.01754
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01675
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00993
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.00287
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.00044
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	95.58214
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.79372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.55603
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.31531
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.30299
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.29641
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.0949
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.01754
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01675
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.00993
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00591
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.00287
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00284
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00224
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.00044
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	95.58214
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.79372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.61133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.47594
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.31531
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.30734
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.30299
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.27323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.13564
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.0818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.02335
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.02318
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.01754
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.01675
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.01034
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.00993
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0029
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0.00287
