,Streptococcus_anginosus,Klebsiella_michiganensis,Enterococcus_faecalis,Lactobacillus_salivarius,Dielma_fastidiosa,Streptococcus_constellatus,Streptococcus_parasanguinis,Peptostreptococcus_anaerobius,Bifidobacterium_longum,Bifidobacterium_breve,Lactobacillus_ruminis,Lactococcus_lactis,Streptococcus_vestibularis,Streptococcus_salivarius,Streptococcus_thermophilus,Lactobacillus_casei,Megasphaera_elsdenii,Bacteroides_stercoris,Prevotella_nigrescens,Streptococcus_sanguinis,Ruminococcus_gnavus,Ruminococcus_lactaris,Bacteroides_fragilis,Streptococcus_mutans,Bacteroides_nordii,Streptococcus_oralis,Haemophilus_parainfluenzae,Enterococcus_faecium,Acidaminococcus_intestini,Anaerococcus_obesiensis,Bacteroides_barnesiae,Bacteroides_massiliensis,Bacteroides_salyersiae,Blautia_wexlerae,Clostridium_saccharogumia,Megamonas_funiformis,Prevotella_intermedia,Prevotella_oris,Solobacterium_moorei,Veillonella_atypica,Lactobacillus_mucosae,Enterococcus_durans,Bifidobacterium_dentium,Bifidobacterium_pseudocatenulatum,Bifidobacterium_catenulatum,Eggerthella_lenta,Clostridium_innocuum,Bacteroides_cellulosilyticus,Lactobacillus_gasseri,Atopobium_parvulum,Fusobacterium_nucleatum,Sutterella_wadsworthensis,Alistipes_onderdonkii,Bifidobacterium_bifidum,Streptococcus_equinus,Hungatella_hathewayi,Clostridium_scindens,Anaerotruncus_colihominis,Clostridium_boltae,Lachnospiraceae_bacterium,Bacteroides_thetaiotaomicron,Bacteroides_dorei,Bacteroides_rodentium,Parabacteroides_goldsteinii,Phascolarctobacterium_succinatutens,Dorea_formicigenerans,Clostridium_butyricum,Clostridium_clostridioforme,Veillonella_parvula,Lactobacillus_fermentum,Bacteroides_xylanisolvens,Lactobacillus_reuteri,Clostridium_perfringens,Mogibacterium_timidum,Parvimonas_micra,Bilophila_wadsworthia,Bifidobacterium_adolescentis,Bifidobacterium_ruminantium,Hafnia_alvei,Bifidobacterium_angulatum,Akkermansia_muciniphila,Anaerostipes_hadrus,Ruminococcus_torques,Flavonifractor_plautii,Parabacteroides_merdae,Faecalibacterium_prausnitzii,Clostridium_saccharolyticum,Anaerostipes_caccae,Bacteroides_caccae,Collinsella_aerofaciens,Methanobrevibacter_smithii,Eubacterium_siraeum,Fusobacterium_ulcerans,Fusobacterium_gonidiaformans,Parasutterella_excrementihominis,Bacteroides_finegoldii,Bacteroides_eggerthii,Eubacterium_rectale,Roseburia_intestinalis,Blautia_hansenii,Faecalitalea_cylindroides,Clostridium_symbiosum,Alistipes_finegoldii,Turicibacter_sanguinis,Porphyromonas_asaccharolytica,Streptococcus_australis,Prevotella_stercorea,Alistipes_timonensis,Alistipes_senegalensis,Senegalimassilia_anaerobia,Bacteroides_faecis,Enorma_massiliensis,Alistipes_obesi,Blautia_producta,Parabacteroides_gordonii,Porphyromonas_somerae,Porphyromonas_uenonis,Faecalicoccus_pleomorphus,Ruminococcus_bicirculans,Butyricicoccus_pullicaecorum,cand._Alistipes,Holdemania_massiliensis,Megasphaera_massiliensis,Clostridiales_bacterium,Bacteroides_stercorirosoris,Eubacterium_ramulus,Clostridium_paraputrificum,Dorea_longicatena,Intestinimonas_butyriciproducens,Adlercreutzia_equolifaciens,Mitsuokella_jalaludinii,Alistipes_inops,bacterium_OL-1,bacterium_LF-3,Ruminococcus_champanellensis,butyrate-producing_bacterium,Pyramidobacter_piscolens,Blautia_obeum,Eubacterium_ventriosum,Desulfovibrio_piger,Eubacterium_hallii,Ruminococcus_callidus,Coprococcus_eutactus,Clostridium_leptum,Clostridium_spiroforme,Alistipes_putredinis,Intestinibacter_bartlettii,Fusobacterium_mortiferum,Fusobacterium_varium,Bacteroides_coprocola,Coprococcus_comes,Bacteroides_intestinalis,Blautia_hydrogenotrophica,Bacteroides_pectinophilus,Bacteroides_plebeius,Tyzzerella_nexilis,Mitsuokella_multacida,Butyrivibrio_crossotus,Eubacterium_eligens,Clostridium_asparagiforme,Holdemanella_biformis,Collinsella_intestinalis,Prevotella_copri,Holdemania_filiformis,Veillonella_dispar,Bacteroides_coprophilus,Ruminococcaceae_bacterium,Gemella_morbillorum,Roseburia_hominis,Acidaminococcus_fermentans,Dialister_invisus,Peptostreptococcus_stomatis,Roseburia_inulinivorans,Alloprevotella_tannerae,Granulicatella_adiacens,Ruminococcus_bromii,Megasphaera_micronuciformis,Odoribacter_splanchnicus,Alistipes_shahii,Coprococcus_catus,Alistipes_indistinctus,Barnesiella_intestinihominis,Clostridium_citroniae,Collinsella_tanakaei,Dialister_succinatiphilus,Slackia_piriformis,Paraprevotella_clara,Paraprevotella_xylaniphila,Succinatimonas_hippei,Bacteroides_clarus,Bacteroides_fluxus,Parabacteroides_johnsonii,Libanicoccus_massiliensis,Mailhella_massiliensis,Verrucomicrobia_bacterium,Merdibacter_massiliensis,Firmicutes_bacterium,Lentisphaerae_bacterium,Burkholderiales_bacterium,Succinivibrio_dextrinosolvens,Niameybacter_massiliensis
CCIS00146684ST-4-0,0.0,0.0,0.0,0.0,0.0,0.0,4.22e-05,8.44e-05,0.038159561,0.0,0.0,0.0,0.000126636,0.000295483,4.22e-05,4.22e-05,0.0,0.0,0.0,4.22e-05,0.000126636,0.003292528,0.0,4.22e-05,0.0,0.0,8.44e-05,4.22e-05,0.0,0.0,0.0,0.0,0.0,0.011861545,8.44e-05,0.0,0.0,0.0,8.44e-05,8.44e-05,0.0,4.22e-05,0.0,0.0,0.0,4.22e-05,0.0,0.000464331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44e-05,0.000126636,0.0,8.44e-05,8.44e-05,0.000337695,0.021317011,0.009877585,0.0,0.012536935,0.000717602,0.0,0.0,8.44e-05,0.0,0.003461376,0.0,0.0,4.22e-05,4.22e-05,0.001139721,0.0,0.0,4.22e-05,0.0,0.006162938000000001,0.023849726,0.0,4.22e-05,0.002828198,0.002321655,0.0,0.0,0.0016040520000000001,0.0,0.0,0.0,0.0,0.0,0.002110595,0.0,0.0,0.015449557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027015620000000002,0.000590967,0.001435205,0.0,0.0,0.0,0.0,0.000126636,0.008400169,0.0,0.0,0.000126636,0.0,0.0,0.0,0.014098776,0.0,0.0,8.44e-05,0.000928662,4.22e-05,0.0,0.0,0.004305614,0.003461376,0.000844238,0.0,0.011566062,0.002490502,0.0,0.010384128000000001,0.0,0.0,0.00599409,0.0,0.033220768,0.00016884799999999998,0.0,0.0,0.0,0.020514985,0.0,4.22e-05,0.0,0.0,0.0,0.0,0.0,0.004390038,8.44e-05,4.22e-05,0.0,0.0,0.00021106,0.0,0.0,4.22e-05,0.0,0.004474462,0.0,0.0,4.22e-05,0.00088645,0.0,0.0,0.019417476,0.0,0.0009708739999999999,0.006585056999999999,0.002363867,0.0,0.0,4.22e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008020260000000001,0.0,0.0,0.0,0.0
CCIS00281083ST-3-0,0.0,0.0,0.0,0.0,0.000185632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000185632,0.000185632,0.0014850570000000001,0.0,0.0,0.0,0.0,0.0,0.000185632,0.004826434,0.0,0.0,0.000556896,0.0,0.000185632,0.0,0.0,0.0,0.0,0.021718953,0.0,0.003155745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092816,0.0,0.0,0.0,0.0,0.000371264,0.0,0.0,0.0,0.0,0.0,0.000185632,0.0,0.002041953,0.032485613999999996,0.009652868,0.0,0.011137925,0.000556896,0.0,0.0,0.000742528,0.0,0.006125859,0.0,0.0,0.0,0.0,0.000742528,0.0,0.0,0.0,0.0,0.00092816,0.002413217,0.001113792,0.000185632,0.005197698,0.001856321,0.0,0.0,0.005012066,0.0,0.000556896,0.002598849,0.0,0.0,0.000556896,0.006311491,0.0,0.000742528,0.030814925,0.0,0.000185632,0.0,0.000371264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000185632,0.0,0.000185632,0.000185632,0.0,0.0,0.0,0.005754594,0.0,0.003341377,0.0,0.0,0.0,0.0,0.0,0.00092816,0.0,0.000556896,0.0,0.001856321,0.0098385,0.0,0.000556896,0.0,0.0,0.000185632,0.0,0.006311491,0.0,0.0,0.0,0.0,0.007239651,0.0,0.0,0.0,0.000185632,0.000371264,0.0,0.0,0.00538333,0.000185632,0.0,0.0,0.453499165,0.000371264,0.0,0.0,0.0,0.0,0.000185632,0.0,0.0,0.0,0.02320401,0.0,0.0,0.0,0.0,0.00092816,0.001299425,0.001299425,0.000185632,0.001113792,0.000185632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCIS02124300ST-4-0,6.56e-05,0.0,0.000196805,0.0,3.28e-05,6.56e-05,0.000885623,0.0,0.00013120299999999998,0.0,0.0,0.0,0.000262407,0.003444091,6.56e-05,0.0,0.0,0.0,0.0,9.84e-05,0.00013120299999999998,6.56e-05,0.0,0.00013120299999999998,0.00013120299999999998,6.56e-05,0.000262407,0.0,0.0,0.0,0.0,0.0,0.0,0.010955488999999999,0.0,0.0,0.0,0.0,0.0,0.00013120299999999998,0.0,0.0,0.0,0.000164004,0.0,6.56e-05,6.56e-05,0.000656017,0.0,3.28e-05,0.0,6.56e-05,0.00013120299999999998,0.011644307,0.0,9.84e-05,6.56e-05,3.28e-05,9.84e-05,9.84e-05,0.002000853,0.011775511,0.00265687,0.000196805,0.0,0.005969758,0.0,0.0,0.00013120299999999998,0.0,0.000262407,0.0,0.00013120299999999998,6.56e-05,0.0,0.00150884,0.007773805,0.0,0.0,0.002361662,0.00301768,0.013054745,0.007150589000000001,0.00045921199999999997,0.003968905,0.022435792000000003,0.0,0.0,0.0038049,0.008987437,0.0,0.000196805,0.0,0.0,0.0,0.0,0.0,0.050185325,0.005444944,0.0,0.0,9.84e-05,0.0,0.0,0.0,0.00013120299999999998,0.0,0.0,0.0,0.000984026,0.0,0.0,0.0018368479999999999,6.56e-05,0.0,0.0,0.0,0.00013120299999999998,0.0,0.0,9.84e-05,3.28e-05,9.84e-05,0.0,0.0,0.002558468,0.0,0.005477745,6.56e-05,3.28e-05,0.0,0.0,0.0,0.0024928660000000003,0.0,0.0030832809999999998,0.0,0.010791485,6.56e-05,0.0,0.002722472,0.012956342,0.0,0.001443238,0.000196805,6.56e-05,0.0,0.0,0.0,0.0,0.002689671,0.001377636,0.0,0.0,0.0,0.0,0.0,0.0,0.022862204,6.56e-05,0.0,0.0,0.049168498,6.56e-05,9.84e-05,0.0,6.56e-05,0.0,0.0030832809999999998,0.001771247,0.051366155999999996,0.0,0.017548463,0.0,9.84e-05,0.037425788,0.0,0.000656017,0.002361662,0.001377636,0.000492013,0.001312035,6.56e-05,0.0,0.0,0.0,0.0,0.0,0.00022960599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCIS02379307ST-4-0,0.0,0.0,0.000415628,0.0,0.0,0.000415628,0.0,0.007065669,0.000415628,0.0,0.0,0.000831255,0.0,0.000415628,0.0,0.0,0.0,0.0,0.0,0.0,0.000831255,0.041978387,0.0,0.0,0.001246883,0.000415628,0.000415628,0.0,0.0,0.000831255,0.0,0.036575229,0.0,0.004987531,0.002493766,0.0,0.002493766,0.0,0.0,0.000415628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003740648,0.0,0.0,0.0,0.0,0.0033250209999999996,0.0,0.0,0.000415628,0.0,0.000415628,0.000831255,0.0,0.010806318,0.12302576900000001,0.059019119,0.000831255,0.0,0.006234414000000001,0.0,0.0,0.001246883,0.0,0.0029093929999999997,0.0,0.0,0.0,0.000831255,0.002493766,0.000415628,0.0,0.0,0.0,0.0,0.0033250209999999996,0.019118869,0.000415628,0.01039069,0.001246883,0.0,0.0,0.034497091,0.000415628,0.000831255,0.000831255,0.0,0.0,0.000831255,0.0,0.0,0.038653367,0.0,0.0,0.0,0.0,0.000415628,0.000831255,0.0,0.0,0.0,0.0,0.000831255,0.0,0.0,0.0,0.000415628,0.0,0.0,0.0,0.0,0.0,0.0033250209999999996,0.0,0.000831255,0.000415628,0.0,0.0,0.0,0.000831255,0.0,0.011221945,0.0,0.000415628,0.0,0.000831255,0.0,0.015793849,0.0,0.002493766,0.0,0.01039069,0.005818785999999999,0.0,0.001246883,0.0,0.0,0.0,0.0,0.017871987,0.0033250209999999996,0.0,0.0,0.0,0.014962594,0.007896924,0.0,0.0,0.0,0.000415628,0.0,0.0029093929999999997,0.007896924,0.000831255,0.0,0.0,0.0,0.0,0.000415628,0.0,0.0,0.0029093929999999997,0.000831255,0.0,0.0,0.002493766,0.0029093929999999997,0.0,0.0,0.001246883,0.0,0.007065669,0.009143807,0.005818785999999999,0.0,0.014131338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019118869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000415628
CCIS02856720ST-4-0,4.7e-05,0.0,0.0,0.0,9.41e-05,0.0,0.000517452,0.0,0.000799699,0.001834603,0.0,0.0,9.41e-05,0.0008937810000000001,0.013830087,9.41e-05,0.0,0.0,0.0,0.000564493,0.007244331999999999,0.002822467,0.0,0.005974221,0.000282247,0.00023520599999999998,0.000658576,0.0,0.0,9.41e-05,0.0,4.7e-05,0.0,0.009408223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41e-05,0.000141123,0.000141123,0.0,0.000282247,0.000282247,0.005268605,0.000141123,0.0,0.0,0.000282247,0.0008937810000000001,0.0,0.000470411,0.0,9.41e-05,9.41e-05,0.00023520599999999998,0.000141123,0.005221564000000001,0.063176216,0.029259572999999997,0.000376329,0.002210932,0.002681343,0.0,0.0,4.7e-05,4.7e-05,0.004562988,4.7e-05,0.0,0.0,0.0,0.001646439,4.7e-05,0.0,4.7e-05,0.0,0.002916549,0.005268605,0.007996989,0.0013641920000000002,0.0038573709999999996,0.000141123,0.0,9.41e-05,0.005362687,0.0,0.0,0.000141123,0.0,0.0,0.000517452,0.0,0.024038009,0.06294101,0.020509926,0.0,0.000376329,0.000141123,0.0021638910000000003,0.000705617,0.0,0.0,0.0,9.41e-05,0.00023520599999999998,0.00023520599999999998,0.0,0.0028695079999999998,0.000376329,0.0,4.7e-05,4.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001834603,0.0008937810000000001,0.005974221,0.00023520599999999998,0.001928686,0.0,0.0,0.0,0.00023520599999999998,0.0,0.001223069,0.0,0.007949948,0.003292878,0.001458275,0.004374824,0.0,0.0,0.00018816400000000002,0.0,0.005833098,0.001599398,0.0,0.0,0.0,0.010913538,0.000141123,4.7e-05,0.0,0.0,0.0,0.0,4.7e-05,0.000564493,0.00018816400000000002,0.0,0.0,9.41e-05,0.000564493,0.0,0.0,0.0,0.0,0.000376329,0.0,4.7e-05,0.0,0.011007621,0.0,0.000141123,0.125693856,0.0,0.002257973,0.001505316,0.001646439,9.41e-05,0.011007621,0.000141123,0.0,0.0,0.0,0.012042525,0.01223069,0.0,0.0,0.008984853000000001,0.0,0.0,0.0,0.0,0.0,9.41e-05,0.0,0.0,0.0,0.0008937810000000001
CCIS03473770ST-4-0,0.00023116,0.0,0.002542765,0.0,0.0,0.00023116,0.00038526699999999996,0.0,0.009862845,0.0,0.0,0.0,7.709999999999999e-05,0.009246417,0.004854369,0.000154107,0.0,0.007936508,0.0,0.00023116,0.00046232099999999997,0.002234551,0.0,0.0,0.0,7.709999999999999e-05,0.0,0.0023886579999999997,0.0,0.0,0.0,0.0,0.0,0.010556326000000001,7.709999999999999e-05,0.0,0.0,0.0,7.709999999999999e-05,7.709999999999999e-05,0.0,0.000154107,0.000308214,0.002311604,0.0,7.709999999999999e-05,0.0,0.0,7.709999999999999e-05,7.709999999999999e-05,0.0,0.0,0.001386963,0.00023116,0.0,0.0,0.0,0.0,0.0,0.00023116,0.001155802,0.014794267,0.020033903999999998,7.709999999999999e-05,7.709999999999999e-05,0.003929727,0.0,0.0,0.0,0.0,0.001155802,0.0,0.0,0.0,7.709999999999999e-05,0.001309909,0.0,0.0,0.000770535,0.0,0.008244722,0.005856064,0.00377562,0.000154107,0.00531669,0.007011865999999999,0.0,0.0,0.001309909,7.709999999999999e-05,0.029203267,0.00886115,0.0,0.0,0.00046232099999999997,0.001464016,0.005624904,0.041377716,0.0,0.0,0.0,0.0,0.00046232099999999997,0.0,0.0,0.000154107,0.0,0.0,0.00038526699999999996,0.0,0.0,0.0009246419999999999,0.00038526699999999996,0.0,0.0,0.0,0.0,0.0,0.0046232090000000005,0.0,0.00038526699999999996,0.0,0.0,0.0,0.0,0.0026968720000000003,0.0,0.0,0.0,0.000154107,0.0,0.00023116,0.0,0.007705348000000001,0.0,0.00023116,0.0,0.021420866,0.002928032,0.0,0.010479273,0.0,0.0,0.00023116,0.0,0.011172753999999998,0.0,0.0,0.0,0.0,0.0034674059999999997,0.0,0.0,0.0,0.038757898,7.709999999999999e-05,0.0,7.709999999999999e-05,0.00554785,0.0,0.0,0.0,0.000154107,7.709999999999999e-05,0.0,0.0,7.709999999999999e-05,0.0,0.002928032,0.0,0.0054707969999999995,0.0,0.0073971340000000005,0.0,7.709999999999999e-05,0.022730775,0.0,0.0028509790000000004,0.000847588,0.00177223,0.000154107,0.006241331,0.0,0.0,0.0,0.000154107,0.0,0.0,0.0,0.000616428,0.0,0.0,0.0,0.0,0.0,0.00038526699999999996,0.000154107,0.00038526699999999996,0.0,0.0,0.0
CCIS03857607ST-4-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68e-05,0.0,9.36e-05,0.0,0.0,9.36e-05,0.000140351,0.0,0.0,0.0,0.0,4.68e-05,0.0,0.0,0.0,0.0,0.0,0.000140351,0.0,0.0,0.0,0.0,0.0,0.003181287,0.0,0.00580117,0.0,0.001122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68e-05,0.0,0.0,0.0,0.000327485,0.0,0.001918129,0.0,0.0,0.0,0.0,0.0,0.0,0.000654971,0.002807018,0.000467836,0.0,0.020163743,0.003929825,0.0,0.0,0.0,0.0,0.003368421,0.0,0.0,0.0,0.0,0.000327485,0.000140351,0.0,0.0,0.000654971,0.0,0.000842105,0.000374269,4.68e-05,0.000701754,0.015532164,0.0,0.0,0.000842105,0.008187135,0.0,9.36e-05,0.0,0.0,4.68e-05,0.0,0.0,0.0017777779999999998,0.004397661,0.0,0.0,0.0,0.0,0.0,0.0,4.68e-05,0.01328655,0.0,9.36e-05,0.0012163739999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00219883,0.0,0.005988304,0.0,4.68e-05,0.0,0.0,0.0,0.0022923979999999997,0.0,0.000982456,0.0,0.001356725,0.0012163739999999999,0.000654971,0.006128655,0.0,0.0,4.68e-05,9.36e-05,4.68e-05,0.0,0.0,0.0,0.0,0.0063157890000000005,0.0,0.0,0.0,0.0014502920000000002,0.0,0.0,0.02928655,0.031719298,0.0,0.003461988,0.0,0.024046783999999998,0.0,0.0,0.0,9.36e-05,4.68e-05,0.001076023,0.0,0.0,9.36e-05,0.006362573000000001,0.0,4.68e-05,4.68e-05,0.0,0.000140351,0.000280702,0.00102924,0.000140351,0.000748538,0.0,0.0,0.0,0.0,0.000654971,0.0,0.0,0.0,0.0,0.0,0.000421053,0.0,0.0,0.0,4.68e-05,0.0,0.0,4.68e-05,0.0
CCIS05314658ST-4-0,9.86e-05,0.0,0.0,0.0,0.0,9.86e-05,0.000246597,0.0,0.018938647,0.0,0.0,0.0,0.000394555,0.00029591599999999996,4.93e-05,0.0,0.0,0.005770369,0.0,4.93e-05,4.93e-05,4.93e-05,0.0,0.0,0.00014795799999999998,0.0,0.001331624,0.0,0.0,0.0,0.0,0.00567173,0.0,0.043105149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033833102999999996,0.014845137,0.000197278,0.0,0.001676859,0.0,4.93e-05,0.0,0.004734662,0.00034523599999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005030578,0.07220359,0.031811007999999995,9.86e-05,4.93e-05,0.001134346,0.0,0.0,9.86e-05,0.0,0.000542513,0.0,0.0,9.86e-05,0.0,0.0030084829999999997,0.016916551999999998,0.0,0.0,0.0,0.0032057609999999997,0.025744722999999997,0.006263563000000001,0.000197278,0.00241665,0.007989742,0.0,0.0,0.0022193729999999997,0.003896232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025744722999999997,0.00325508,0.0,0.0,0.0,0.000197278,0.0,0.0,9.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001775498,0.0,0.0,0.0,0.0,0.0,0.004685342,0.0,0.0007397910000000001,9.86e-05,0.0,0.0,0.0,0.001331624,0.0,0.001972776,0.0,0.000443875,4.93e-05,0.0,0.0,0.0048333,0.0,0.000542513,0.0,0.000443875,0.0036003159999999997,0.0,0.009272045999999999,0.001134346,0.0,9.86e-05,9.86e-05,0.005819688000000001,0.00083843,0.0,0.0,0.0,0.0022193729999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.004241468,0.008285658000000001,0.0,0.0,0.0,0.000197278,0.0,0.0,0.0,0.0,0.0,9.86e-05,0.0,9.86e-05,9.86e-05,0.000246597,0.0,4.93e-05,0.021749852000000004,0.0,0.0014795820000000001,0.000443875,0.001183665,0.00029591599999999996,0.002860525,0.0,0.0,4.93e-05,0.0,0.004290787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000246597,0.0,0.0,0.0
CCIS06260551ST-3-0,0.000636294,0.0,0.000127259,0.000127259,0.0,0.0,0.000381777,0.0,0.000127259,0.0,0.0,0.000254518,0.000509035,0.000636294,0.000254518,0.0,0.0,0.0,0.0,0.000127259,0.001272588,0.000127259,0.0,0.0,0.003181471,0.000381777,0.000636294,0.0,0.000254518,0.000254518,0.0,0.00114533,0.0,0.000763553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000254518,0.0,0.0,0.000127259,0.001272588,0.0019088829999999999,0.0,0.0,0.0,0.0,0.001399847,0.0,0.0,0.001018071,0.000127259,0.0,0.000127259,0.000381777,0.002036142,0.014762026000000001,0.005599389000000001,0.000509035,0.0,0.0,0.000254518,0.0,0.0,0.0,0.000509035,0.0,0.000254518,0.000127259,0.000381777,0.000381777,0.000254518,0.0,0.0,0.0,0.0,0.001399847,0.00114533,0.000254518,0.000636294,0.000127259,0.0,0.0,0.007253754,0.0,0.14647493,0.009035378,0.0,0.0,0.000381777,0.0,0.0,0.001018071,0.000254518,0.0,0.0,0.001654365,0.0,0.000381777,0.0,0.0,0.0,0.0,0.000254518,0.000127259,0.0,0.0019088829999999999,0.000636294,0.0,0.0019088829999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000254518,0.0,0.000127259,0.0,0.0,0.0019088829999999999,0.0,0.000763553,0.0,0.0,0.0,0.000636294,0.00114533,0.000509035,0.0035632479999999998,0.0,0.0,0.000381777,0.000254518,0.001527106,0.000509035,0.0,0.0,0.0,0.000127259,0.0,0.0,0.0,0.0,0.0,0.0,0.000509035,0.000763553,0.0,0.0,0.0,0.000127259,0.000127259,0.0,0.0,0.000127259,0.0,0.000254518,0.0,0.0,0.000127259,0.001272588,0.0,0.0,0.039577501,0.0,0.0008908119999999999,0.000636294,0.000127259,0.000509035,0.002672436,0.000127259,0.0,0.0,0.0,0.000254518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000509035,0.0,0.0,0.0,0.009162637,0.000254518
CCIS07277498ST-4-0,0.0,0.0,9.77e-05,0.0,0.0,0.0,0.00019533200000000002,0.0,0.02514894,0.0,0.000976658,0.000146499,0.00019533200000000002,0.000634828,0.001464987,0.0,0.0,0.0052739530000000005,0.0,4.88e-05,0.0,4.88e-05,0.0,0.0,0.0,4.88e-05,4.88e-05,0.000488329,0.0,0.0,0.0,0.021877136000000002,0.000244164,0.018312335,0.0,0.0,0.0,0.0,0.0,9.77e-05,0.0,0.0,0.0,0.055571833,0.0,9.77e-05,0.0,0.000683661,0.0,0.0,0.0,0.0,0.000146499,0.008399258,0.0,4.88e-05,0.0,0.0,0.0,9.77e-05,0.00019533200000000002,0.041361461,0.017335677,0.0,0.0,0.002881141,0.0,0.0,4.88e-05,0.0,0.0007324930000000001,0.0,0.0,0.0,4.88e-05,0.0,4.88e-05,0.0,0.0,0.0,0.005176287,0.0012208219999999999,9.77e-05,4.88e-05,0.0055181169999999995,0.016896181,0.0,0.0,0.006494775,0.008203926,4.88e-05,4.88e-05,0.0,0.0,0.0,0.004443793,0.0,0.109141518,0.01147573,0.0,0.0,0.0,9.77e-05,0.0,0.0,4.88e-05,0.0,0.0,4.88e-05,0.000390663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017091510000000001,0.0,9.77e-05,0.0,0.0,0.0,0.0,0.000781326,0.0,0.000878992,0.0,0.000244164,0.0,4.88e-05,0.0,0.0,0.0,0.000537162,0.0,0.0037601329999999997,0.007715596999999999,0.0,0.012403555,0.0,0.0,0.000146499,0.0,0.004443793,0.0,0.0,0.0,0.0,0.014796367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012501221000000002,0.0,0.0,0.0,0.018263502,0.0,0.0,0.0,0.0,0.0,9.77e-05,0.0,0.025051275,4.88e-05,0.00590878,0.0,4.88e-05,0.00185565,0.0,0.001611485,0.000146499,0.00405313,9.77e-05,0.005664616,9.77e-05,0.0,0.0,0.0,0.0020998139999999998,0.0,0.0,0.002881141,0.0,0.0,0.0,0.0,0.000634828,0.0,0.000146499,0.0,0.0,0.0,0.0
