,Japanese,Austrian,Italian,Chinese,French,German
Subdoligranulum_unclassified,0.015673700716394613,NA,0.030018822067928476,NA,NA,NA
Streptococcus_parasanguinis,0.00708571186759829,NA,NA,NA,NA,NA
Ruminococcus_torques,0.014098985261675518,NA,0.012020477446409994,0.003902037591788829,NA,NA
Roseburia_intestinalis,0.0030724285957940967,NA,NA,0.007708182419759337,0.00801772678960146,NA
Coprococcus_catus,0.00807050855095745,NA,NA,NA,NA,NA
Bacteroides_thetaiotaomicron,0.006944008417021971,NA,0.008707544104170881,NA,NA,NA
Haemophilus_parainfluenzae,0.005243912129914859,NA,NA,0.012790446913700114,NA,0.017737983671712317
Holdemania_filiformis,0.010643885322473273,NA,0.0016089006778661952,NA,NA,NA
Veillonella_parvula,0.011835480113965534,NA,NA,NA,NA,NA
Granulicatella_adiacens,0.006743465707698555,NA,NA,NA,NA,NA
Escherichia_coli,0.002836717333392897,NA,0.021610801708039598,NA,NA,NA
Veillonella_dispar,0.004989628559473285,NA,NA,NA,NA,NA
Lachnospiraceae_bacterium_7_1_58FAA,0.007039519495129843,NA,NA,NA,0.01067675946061942,0.007695017420627176
Atopobium_parvulum,0.009042945305051325,NA,NA,NA,NA,NA
Odoribacter_splanchnicus,0.008810308494003487,NA,0.01886166980327838,NA,NA,NA
Bilophila_unclassified,0.0034932264298740776,NA,0.010430499759633838,NA,0.014157329214740777,0.0036556036556036546
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.0034114992907713125,NA,NA,NA,NA,NA
Anaerotruncus_colihominis,0.022606729508729016,NA,0.013887882436585777,NA,NA,NA
Alistipes_senegalensis,0.0018025661632283994,NA,NA,NA,NA,NA
Escherichia_unclassified,0.004648628128732038,NA,NA,NA,NA,NA
Pseudoflavonifractor_capillosus,0.004462313756517967,NA,NA,NA,0.00943990725570069,0.0043274326362561675
Clostridiales_bacterium_1_7_47FAA,0.004237350580070651,NA,NA,NA,NA,NA
Clostridium_symbiosum,0.007912396158118692,NA,NA,0.018977060567110904,0.0050388148511994225,NA
Solobacterium_moorei,0.01132959687988827,0.011064064812956074,NA,0.02571615495648017,NA,0.012085548487606233
Gemella_morbillorum,0.01808009349077823,0.02463695906468881,NA,0.016854358883371837,NA,NA
Parvimonas_unclassified,0.024626515114467548,0.016834652498393922,NA,0.026809000747762924,0.020040077291950918,NA
Fusobacterium_nucleatum,0.004153661472190442,0.024671404890925147,NA,0.020812425667647915,0.022655540401704456,NA
Parabacteroides_johnsonii,0.004138202776961146,NA,0.008112159200757377,NA,NA,NA
Peptostreptococcus_stomatis,0.02435506913925532,0.010674225981322455,NA,0.030620010063655334,0.030190266188659606,NA
Parvimonas_micra,0.011992026704659825,0.01316505385150219,NA,0.019272688903384808,0.018420890159619698,NA
Bacteroides_stercoris,NA,0.0039188906433513925,NA,NA,NA,NA
Eubacterium_biforme,NA,0.006462131102680821,NA,NA,NA,NA
Collinsella_aerofaciens,NA,0.002343062306697373,0.018519265500467,NA,NA,NA
Bacteroides_vulgatus,NA,0.002895469637321001,0.01042967252419464,NA,NA,NA
Streptococcus_thermophilus,NA,0.0067524512218996805,NA,NA,NA,NA
Bacteroides_xylanisolvens,NA,0.011106221281340832,NA,NA,NA,NA
Streptococcus_sanguinis,NA,0.0037324080802276487,NA,NA,0.009119237785095168,NA
Granulicatella_unclassified,NA,0.0015392555334999836,NA,NA,NA,NA
Veillonella_atypica,NA,0.005820380444102114,NA,NA,NA,NA
Bacteroides_massiliensis,NA,0.002051639174162394,0.00569670089734894,NA,NA,NA
Akkermansia_muciniphila,NA,0.005730147635514822,NA,NA,NA,NA
Oscillibacter_unclassified,NA,0.0060934962663725944,0.009509947908285084,NA,0.009674895653057417,NA
Methanobrevibacter_smithii,NA,0.007667021409329765,NA,NA,NA,NA
Barnesiella_intestinihominis,NA,0.005705310961424509,0.014251083378934645,NA,NA,NA
Dasheen_mosaic_virus,NA,0.039294682041442645,NA,NA,NA,NA
Candidatus_Zinderia_insecticola,NA,0.007299709257831045,NA,NA,NA,NA
Bacteroides_caccae,NA,0.005654385718906891,0.014722518980337884,0.012999150157486993,NA,0.0016187534411570437
Clostridium_hathewayi,NA,0.006337987307478542,NA,0.01791613618358694,0.005496220678494234,0.001677001677001677
Ruminococcaceae_bacterium_D16,NA,0.02402055760007101,NA,NA,NA,NA
Dialister_invisus,NA,0.0182382288871521,NA,NA,NA,0.011117487863064142
Prevotella_copri,NA,0.04160989829601899,NA,NA,NA,NA
Porphyromonas_asaccharolytica,NA,0.0177065922520053,0.002343656452375993,NA,NA,NA
Porphyromonas_somerae,NA,0.005821202227792861,NA,NA,0.00627587292745585,NA
Porphyromonas_uenonis,NA,0.014778107110034164,NA,NA,NA,NA
Faecalibacterium_prausnitzii,NA,NA,0.00960252210333463,0.014156595373694625,NA,NA
