	CCIS03473770ST-4-0
k__Bacteria	94.05719
k__Viruses	1.10214
k__Bacteria|p__Firmicutes	63.3828
k__Bacteria|p__Bacteroidetes	21.67989
k__Bacteria|p__Actinobacteria	4.65559
k__Bacteria|p__Verrucomicrobia	2.26911
k__Bacteria|p__Proteobacteria	2.06503
k__Viruses|p__Viruses_noname	1.10214
k__Bacteria|p__Candidatus_Saccharibacteria	0.00476
k__Bacteria|p__Firmicutes|c__Clostridia	57.82773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	21.67989
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.65559
k__Bacteria|p__Firmicutes|c__Negativicutes	1.09623
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2.26911
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.43462
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.03451
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01426
k__Bacteria|p__Firmicutes|c__Bacilli	4.44458
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.5959
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.10214
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	57.82773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	21.67989
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	3.98041
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.09623
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2.26911
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.43462
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.03451
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.57147
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01426
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	4.42624
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.58961
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.10371
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	1.10214
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00629
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.01834
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	29.99126
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	11.95967
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	14.9939
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	3.98041
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.40603
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	13.46236
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.50126
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	2.26911
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.73295
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.0755
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.43462
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.57147
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.00211
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.01426
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2.971
