#SampleID	SAMD00114954
k__Bacteria	99.19428
k__Archaea	0.80572
k__Bacteria|p__Firmicutes	43.2525
k__Bacteria|p__Bacteroidetes	35.47504
k__Bacteria|p__Verrucomicrobia	7.99787
k__Bacteria|p__Proteobacteria	5.3416
k__Bacteria|p__Actinobacteria	4.71541
k__Bacteria|p__Fusobacteria	2.41187
k__Archaea|p__Euryarchaeota	0.80572
k__Bacteria|p__Firmicutes|c__Clostridia	38.77259
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	35.47504
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	7.99787
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.71541
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3.92469
k__Bacteria|p__Firmicutes|c__Negativicutes	3.88087
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.41187
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.10427
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.80572
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.50819
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.31264
k__Bacteria|p__Firmicutes|c__Bacilli	0.09085
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	38.77259
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	35.47504
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	7.99787
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	4.29222
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.88087
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	3.85615
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.41187
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.10427
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.80572
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.50819
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.42319
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.31264
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.09085
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.03972
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.02882
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	18.99348
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	17.65249
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	9.23278
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	7.99787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	7.95993
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	6.83573
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	5.8504
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.36515
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	4.29222
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	3.85615
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	3.02113
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2.41187
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.75403
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	1.10427
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.85973
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.80572
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.59392
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.50819
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.42319
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.31264
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.05791
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	0.03972
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.03294
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.02882
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.0097
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	17.65249
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	16.21752
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	9.04509
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	7.99787
