#SampleID	SAMEA3541547
k__Bacteria	99.9959
k__Viruses	0.00312
k__Eukaryota	0.00097
k__Bacteria|p__Firmicutes	70.34952
k__Bacteria|p__Bacteroidetes	20.14403
k__Bacteria|p__Actinobacteria	5.01113
k__Bacteria|p__Proteobacteria	4.47986
k__Bacteria|p__Fusobacteria	0.00921
k__Viruses|p__Viruses_noname	0.00312
k__Bacteria|p__Candidatus_Saccharibacteria	0.00215
k__Eukaryota|p__Ascomycota	0.00097
k__Bacteria|p__Firmicutes|c__Clostridia	43.19819
k__Bacteria|p__Firmicutes|c__Negativicutes	23.86402
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	20.14403
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.01113
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4.08674
k__Bacteria|p__Firmicutes|c__Bacilli	3.061
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.26673
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.22631
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.12638
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.00921
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00312
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00215
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.00097
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	43.19819
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	23.86402
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	20.14403
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	3.66464
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.05319
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2.35417
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.73257
