#SampleID	SAMEA3541587
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	51.73577
k__Bacteria|p__Bacteroidetes	45.2496
k__Bacteria|p__Proteobacteria	1.56042
k__Bacteria|p__Fusobacteria	1.04794
k__Bacteria|p__Actinobacteria	0.4005
k__Bacteria|p__Candidatus_Saccharibacteria	0.00577
k__Bacteria|p__Firmicutes|c__Clostridia	45.9108
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	45.2496
k__Bacteria|p__Firmicutes|c__Negativicutes	3.52614
k__Bacteria|p__Firmicutes|c__Bacilli	1.87237
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.11859
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.04794
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.42646
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.42389
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.4005
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.01548
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00577
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.00246
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	45.9108
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	45.2496
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.52614
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.46386
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.04794
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.77635
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.42646
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.42389
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.40851
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.34224
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.22373
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.17435
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.01548
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00577
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.00246
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00242
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	32.56722
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	18.45436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	16.60462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	10.23815
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	7.77544
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	3.52614
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.6179
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	1.34593
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.17329
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	1.05123
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.99984
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.77635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.42866
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.42646
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.42389
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.40851
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.39767
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.37687
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.34224
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.28243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.25221
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.22373
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.17435
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.0481
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.03522
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.01548
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.01493
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.00577
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0.00505
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.00309
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.00246
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.00242
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	32.56722
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	18.45436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	10.29409
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	9.8871
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	4.65903
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	3.88714
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	3.05992
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	1.62586
