	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
subjectID	FR-726	FR-060	FR-568	FR-828	FR-027	FR-192	FR-349	FR-169	FR-200	FR-276	FR-460	FR-053	FR-214	FR-400	FR-193	FR-606	FR-788	FR-548	FR-212	FR-398	FR-902	FR-823	FR-654	FR-003	FR-404	FR-901	FR-024	FR-542	FR-139	FR-030	FR-125	FR-051	FR-221	FR-121	FR-414	FR-191	FR-815	FR-826	FR-506	FR-316	FR-767	FR-282	FR-419	FR-001	FR-115	FR-382	FR-166	FR-305	FR-643	FR-510	FR-105	FR-652	FR-430	FR-129	FR-500	FR-812	FR-142	FR-198	FR-496	FR-723	FR-202	FR-298	FR-817	FR-451	FR-558	FR-664	FR-721	FR-161	FR-596	FR-770	FR-116	FR-684	FR-825	FR-830	FR-667	FR-054	FR-751	FR-507	FR-829	FR-170	FR-194	FR-503	FR-215	FR-213	FR-474	FR-399	FR-113	FR-473	FR-827	FR-551	FR-293	FR-666	FR-835	FR-734	FR-790	FR-162	FR-268	FR-617	FR-820	FR-376	FR-504	FR-780	FR-390	FR-132	FR-719	FR-195	FR-173	FR-772	FR-792	FR-281	FR-187	FR-824	FR-156	FR-026	FR-672	FR-450	FR-211	FR-783	FR-728	FR-768	FR-039	FR-716	FR-118	FR-539	FR-312	FR-302	FR-628	FR-040	FR-730	FR-495	FR-241	FR-344	FR-722	FR-208	FR-310	FR-223	FR-505	FR-196	FR-328	FR-393	FR-759	FR-294	FR-449	FR-249	FR-218	FR-275	FR-682	FR-110	FR-229	FR-025	FR-696	FR-152	FR-626	FR-052	FR-459	FR-552	DE-102	DE-046	DE-101	DE-100	DE-099	DE-049	DE-098	DE-097	DE-096	DE-037	DE-095	DE-094	DE-093	DE-092	DE-013	DE-091	DE-038	DE-090	DE-025	DE-089	DE-045	DE-031	DE-088	DE-09	DE-087	DE-086	DE-085	DE-084	DE-083	DE-082	DE-039	DE-081	DE-080	DE-079	DE-044	DE-029	DE-034	DE-062	DE-074	DE-075	DE-077	DE-076	DE-073
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
study_condition	control	control	control	CRC	control	control	control	control	CRC	control	control	control	adenoma	control	control	adenoma	CRC	adenoma	control	control	control	CRC	CRC	control	CRC	CRC	control	control	control	control	CRC	adenoma	control	control	CRC	adenoma	CRC	adenoma	CRC	control	CRC	adenoma	adenoma	control	control	adenoma	control	control	adenoma	adenoma	control	CRC	CRC	control	adenoma	CRC	control	control	adenoma	CRC	CRC	CRC	CRC	CRC	control	adenoma	control	adenoma	adenoma	CRC	control	control	CRC	CRC	CRC	adenoma	control	adenoma	adenoma	CRC	control	CRC	adenoma	control	adenoma	control	adenoma	adenoma	CRC	CRC	CRC	adenoma	adenoma	CRC	adenoma	adenoma	CRC	CRC	adenoma	CRC	CRC	CRC	control	control	control	control	control	CRC	adenoma	CRC	control	CRC	control	adenoma	adenoma	CRC	adenoma	CRC	control	CRC	control	control	control	adenoma	adenoma	CRC	CRC	control	control	adenoma	adenoma	CRC	CRC	CRC	CRC	CRC	CRC	adenoma	CRC	control	control	control	adenoma	adenoma	adenoma	CRC	control	control	adenoma	control	control	control	adenoma	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control
disease	healthy	healthy	healthy	CRC	healthy	healthy	healthy	healthy	CRC	healthy	healthy	healthy	adenoma	healthy	healthy	adenoma	CRC	adenoma	healthy	healthy	healthy	CRC	CRC	healthy	CRC	CRC	healthy	healthy	healthy	healthy	CRC	adenoma	healthy	healthy	CRC	adenoma	CRC	adenoma	CRC	healthy	CRC	adenoma	adenoma	healthy	healthy	adenoma	healthy	healthy	adenoma	adenoma	healthy	CRC	CRC	healthy	adenoma	CRC	healthy	healthy	adenoma	CRC	CRC	CRC	CRC	CRC	healthy	adenoma	healthy	adenoma	adenoma	CRC	healthy	healthy	CRC	CRC	CRC	adenoma	healthy	adenoma	adenoma	CRC	healthy	CRC	adenoma	healthy	adenoma	healthy	adenoma	adenoma	CRC	CRC	CRC	adenoma	adenoma	CRC	adenoma	adenoma	CRC	CRC	adenoma	CRC	CRC	CRC	healthy	healthy	healthy	healthy	healthy	CRC	adenoma	CRC	healthy	CRC	healthy	adenoma	adenoma	CRC	adenoma	CRC	healthy	CRC	healthy	healthy	healthy	adenoma	adenoma	CRC	CRC	healthy	healthy	adenoma	adenoma	CRC	CRC	CRC	CRC	CRC	CRC	adenoma	CRC	healthy	healthy	healthy	adenoma	adenoma	adenoma	CRC	healthy	healthy	adenoma	healthy	healthy	healthy	adenoma	healthy	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	healthy	healthy	healthy	healthy	healthy
disease_subtype	NA	NA	NA	carcinoma	NA	NA	NA	NA	carcinoma	NA	NA	NA	smalladenoma	NA	NA	smalladenoma	carcinoma	largeadenoma	NA	NA	NA	carcinoma	carcinoma	NA	carcinoma	carcinoma	NA	NA	NA	NA	carcinoma	largeadenoma	NA	NA	carcinoma	largeadenoma	carcinoma	smalladenoma	carcinoma	NA	carcinoma	smalladenoma	smalladenoma	NA	NA	largeadenoma	NA	NA	smalladenoma	smalladenoma	NA	carcinoma	carcinoma	NA	smalladenoma	carcinoma	NA	NA	smalladenoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	NA	smalladenoma	NA	smalladenoma	smalladenoma	carcinoma	NA	NA	carcinoma	carcinoma	carcinoma	largeadenoma	NA	smalladenoma	smalladenoma	carcinoma	NA	carcinoma	smalladenoma	NA	largeadenoma	NA	smalladenoma	largeadenoma	carcinoma	carcinoma	carcinoma	smalladenoma	smalladenoma	carcinoma	smalladenoma	largeadenoma	carcinoma	carcinoma	smalladenoma	carcinoma	carcinoma	carcinoma	NA	NA	NA	NA	NA	carcinoma	smalladenoma	carcinoma	NA	carcinoma	NA	smalladenoma	smalladenoma	carcinoma	largeadenoma	carcinoma	NA	carcinoma	NA	NA	NA	smalladenoma	largeadenoma	carcinoma	carcinoma	NA	NA	smalladenoma	largeadenoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	largeadenoma	carcinoma	NA	NA	NA	largeadenoma	largeadenoma	largeadenoma	carcinoma	NA	NA	smalladenoma	NA	NA	NA	smalladenoma	NA	carcinoma	carcinoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
age	72	53	35	67	74	29	61	65	58	63	77	62	63	67	25	64	62	58	67	44	56	81	51	70	59	56	37	46	61	54	72	68	71	59	63	62	82	77	60	62	69	59	60	52	72	89	64	50	66	53	68	64	80	63	62	73	68	63	59	79	87	73	74	78	67	59	62	48	66	75	55	67	65	54	67	63	66	72	52	62	66	87	53	61	60	63	63	64	53	72	76	45	52	64	45	68	70	80	76	76	56	68	61	69	49	63	59	69	55	50	70	74	62	66	68	44	73	65	64	69	65	60	64	49	68	59	51	57	38	66	60	48	45	63	85	79	73	71	73	67	74	84	78	63	71	63	65	59	64	80	52	63	66	53	63	55	42	75	66	56	74	63	53	69	72	62	66	42	41	71	65	87	62	59	69	58	35	58	73	51	66	79	34	67	70	77	68	53	55	72	43	51	49	90	34	30	34	37	49
age_category	senior	adult	adult	senior	senior	adult	adult	adult	adult	adult	senior	adult	adult	senior	adult	adult	adult	adult	senior	adult	adult	senior	adult	senior	adult	adult	adult	adult	adult	adult	senior	senior	senior	adult	adult	adult	senior	senior	adult	adult	senior	adult	adult	adult	senior	senior	adult	adult	senior	adult	senior	adult	senior	adult	adult	senior	senior	adult	adult	senior	senior	senior	senior	senior	senior	adult	adult	adult	senior	senior	adult	senior	adult	adult	senior	adult	senior	senior	adult	adult	senior	senior	adult	adult	adult	adult	adult	adult	adult	senior	senior	adult	adult	adult	adult	senior	senior	senior	senior	senior	adult	senior	adult	senior	adult	adult	adult	senior	adult	adult	senior	senior	adult	senior	senior	adult	senior	adult	adult	senior	adult	adult	adult	adult	senior	adult	adult	adult	adult	senior	adult	adult	adult	adult	senior	senior	senior	senior	senior	senior	senior	senior	senior	adult	senior	adult	adult	adult	adult	senior	adult	adult	senior	adult	adult	adult	adult	senior	senior	adult	senior	adult	adult	senior	senior	adult	senior	adult	adult	senior	adult	senior	adult	adult	senior	adult	adult	adult	senior	adult	senior	senior	adult	senior	senior	senior	senior	adult	adult	senior	adult	adult	adult	senior	adult	adult	adult	adult	adult
gender	female	male	male	male	male	male	male	female	male	male	female	female	male	male	male	male	male	male	male	female	female	female	male	male	female	female	female	female	female	male	female	male	female	male	male	male	male	male	male	male	female	male	male	female	male	male	male	male	male	male	male	male	male	female	female	male	female	male	female	female	female	female	female	male	female	female	female	female	male	male	female	male	male	female	male	male	male	female	female	female	female	female	female	female	female	female	male	male	male	male	male	male	male	male	female	male	female	female	female	male	female	male	female	female	female	female	female	female	male	female	male	female	male	male	male	male	male	male	female	female	male	female	female	male	male	male	male	male	female	male	male	female	female	male	female	male	male	male	female	female	male	male	female	male	female	male	male	female	male	female	male	female	male	female	male	female	female	male	female	male	male	male	female	male	female	male	male	male	male	male	male	male	female	male	male	female	female	male	female	male	male	female	male	male	male	female	male	female	male	male	female	male	female	male	male	male	male	male	male
BMI	25	32	23	28	27	24	23	24	24	NA	22	21	26	21	24	26	26	22	27	26	NA	39	30	22	20	NA	18	29	24	26	37	23	23	25	25	29	24	23	26	23	24	31	27	20	24	24	27	25	24	30	26	21	29	27	21	40	25	25	21	22	32	24	19	19	28	NA	20	21	22	37	20	25	24	22	25	27	25	32	23	21	28	15	33	23	26	22	26	28	25	22	NA	24	33	30	24	21	26	23	34	25	23	23	34	25	23	23	25	25	24	24	25	26	24	24	36	20	26	26	30	30	30	28	20	20	26	27	24	24	22	29	24	24	28	22	20	30	17	29	26	23	27	23	23	30	22	31	30	25	28	21	24	21	20	30	29	25	35	28	23	27	26	25	32	28	24	22	26	27	22	30	28	22	27	24	24	32	22	25	22	28	31	26	27	30	25	26	23	31	28	28	22	30	30	28	23	31	21	25	26
