#SampleID	SAMD00114895
k__Bacteria	99.98574
k__Archaea	0.01426
k__Bacteria|p__Firmicutes	58.88661
k__Bacteria|p__Bacteroidetes	25.92763
k__Bacteria|p__Actinobacteria	7.58394
k__Bacteria|p__Verrucomicrobia	4.82077
k__Bacteria|p__Proteobacteria	2.76679
k__Archaea|p__Euryarchaeota	0.01426
k__Bacteria|p__Firmicutes|c__Clostridia	57.7964
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	25.92763
k__Bacteria|p__Actinobacteria|c__Actinobacteria	7.58394
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	4.82077
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.86601
k__Bacteria|p__Firmicutes|c__Bacilli	0.89258
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.87193
k__Bacteria|p__Firmicutes|c__Negativicutes	0.16902
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.02885
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0286
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.01426
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	57.7964
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	25.92763
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	7.08583
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	4.82077
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.84288
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.89258
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.87193
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.49559
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.16902
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.02885
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0286
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.02313
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.01426
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00253
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	31.21023
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	19.0698
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	10.9485
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7.73913
