#SampleID	SAMD00114803
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	67.78029
k__Bacteria|p__Firmicutes	23.09264
k__Bacteria|p__Proteobacteria	8.74955
k__Bacteria|p__Actinobacteria	0.33649
k__Bacteria|p__Verrucomicrobia	0.04103
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	67.78029
k__Bacteria|p__Firmicutes|c__Clostridia	18.97247
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8.63627
k__Bacteria|p__Firmicutes|c__Negativicutes	3.4545
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.66157
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.33649
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.09546
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.04103
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.01782
k__Bacteria|p__Firmicutes|c__Bacilli	0.0041
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	67.78029
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	18.97247
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	8.60828
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.4545
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.66157
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.19528
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.14121
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.09546
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.04103
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.01782
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.01514
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.01285
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0041
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	39.1502
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	22.15739
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	8.60828
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	8.20869
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	7.63493
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	4.91368
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	3.4545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.88219
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.55434
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.66157
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.19528
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.14121
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.13508
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.09546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.06243
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.04103
