	MMRS25211151ST-27-0-0
k__Bacteria	99.99955
k__Bacteria|p__Bacteroidetes	45.94332
k__Bacteria|p__Firmicutes	43.71768
k__Bacteria|p__Proteobacteria	1.2486
k__Bacteria|p__Verrucomicrobia	8.86176
k__Bacteria|p__Actinobacteria	0.22583
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	45.94332
k__Bacteria|p__Firmicutes|c__Clostridia	40.18508
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	8.86176
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.22583
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.30085
k__Bacteria|p__Firmicutes|c__Negativicutes	2.53328
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.28079
k__Bacteria|p__Firmicutes|c__Bacilli	0.45333
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.54599
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.66696
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	45.94332
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	40.18508
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	8.86176
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.15098
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.30085
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.53328
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.28079
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.44925
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.54599
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.65166
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0153
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	30.54875
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	12.12754
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	17.55217
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	8.69632
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	9.03981
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	5.4157
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.00985
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.69932
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	8.86176
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.00519
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.15098
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.30085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.9292
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.05782
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.44409
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.13802
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.54599
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.65166
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.14277
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.06736
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.0153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.00217
