	DLF005-IE	DLM006-IE	DOM005-IE	DOM017-IE	MH0192	MH0221	MH0222	MH0234	MH0238	MH0245	MH0246	MH0252	MH0259	MH0260	MH0261	MH0262	MH0264	MH0265	MH0266	MH0268	MH0270	MH0271	MH0280	MH0281	MH0283	MH0284	MH0290	MH0293	MH0297	MH0298	MH0299	MH0301	MH0303	MH0308	MH0309	MH0310	MH0311	MH0314	MH0315	MH0319	MH0323	MH0325	MH0326	MH0327	MH0328	MH0329	MH0330	MH0332	MH0334	MH0335	MH0336	MH0337	MH0338	MH0339	MH0340	MH0341	MH0342	MH0343	MH0345	MH0346	MH0347	MH0348	MH0349	MH0350	MH0351	MH0354	MH0355	MH0356	MH0357	MH0358	MH0359	MH0360	MH0361	MH0362	MH0363	MH0364	MH0365	MH0366	MH0367	MH0368	MH0369	MH0370	MH0371	MH0372	MH0373	MH0374	MH0375	MH0376	MH0377	MH0378	MH0379	MH0381	MH0382	MH0383	MH0384	MH0385	MH0386	MH0387	MH0388	MH0389	MH0390	MH0391	MH0392	MH0393	MH0394	MH0395	MH0396	MH0397	MH0398	MH0399	MH0400	MH0401	MH0402	NLF002-IE	NLF009-IE	NLM009-IE	NLM025-IE	NOF002-IE	NOF007-IE	NOF013-IE	O2.CD1-0	O2.CD1-0-PT	O2.CD2-0	O2.CD2-0-PT	O2.CD3-0-PT	O2.UC1-1	O2.UC11-1	O2.UC12-1	O2.UC13-1	O2.UC14-1	O2.UC15-0	O2.UC15-1	O2.UC15-2	O2.UC16-1	O2.UC17-1	O2.UC18-1	O2.UC19-1	O2.UC20-1	O2.UC2-1	O2.UC21-1	O2.UC22-1	O2.UC23-1	O2.UC24-1	O2.UC26-1	O2.UC27-1	O2.UC28-0	O2.UC28-1	O2.UC28-2	O2.UC29-1	O2.UC30-1	O2.UC3-1	O2.UC31-1	O2.UC32-1	O2.UC35-1	O2.UC36-0	O2.UC36-1	O2.UC37-1	O2.UC38-1	O2.UC40-1	O2.UC4-1	O2.UC41-1	O2.UC43-1	O2.UC44-1	O2.UC46-1	O2.UC47-1	O2.UC48-1	O2.UC5-1	O2.UC6-0	O2.UC6-1	O2.UC6-2	O2.UC7-0	O2.UC7-1	O2.UC8-0	O2.UC8-1	O2.UC8-2	O2.UC9-1	V1.CD1-0-PN	V1.CD1-0-PT	V1.CD12-3	V1.CD1-3-PN	V1.CD20-0	V1.CD2-0-PN	V1.CD2-0-PT	V1.CD3-0-PN	V1.CD3-0-PT	V1.CD32-0	V1.CD32-4	V1.CD3-3-PN	V1.CD37-4	V1.CD40-0	V1.CD4-0-PN	V1.CD4-0-PT	V1.CD43-0	V1.CD44-0	V1.CD44-4	V1.CD45-0	V1.CD46-0	V1.CD48-0	V1.CD49-0	V1.CD50-0	V1.CD5-0-PN	V1.CD51-0	V1.CD52-0	V1.CD53-0	V1.CD54-0	V1.CD55-0	V1.CD6-0-PN	V1.CD6-0-PT	V1.CD7-0-PN	V1.CD8-0-PN	V1.FI01	V1.FI02	V1.FI03	V1.FI04	V1.FI05	V1.FI06	V1.FI07	V1.FI08	V1.FI09	V1.FI10	V1.FI11	V1.FI12	V1.FI13	V1.FI14	V1.FI15	V1.FI16	V1.FI17	V1.FI18	V1.FI19	V1.FI20	V1.FI21	V1.FI22	V1.FI23	V1.FI24	V1.FI25	V1.FI26	V1.FI27	V1.FI28	V1.FI29	V1.FI30	V1.FI31	V1.FI32	V1.FI33	V1.FI34	V1.FI35	V1.FI36	V1.FI37	V1.UC22-1	V1.UC38-4	V1.UC39-4	V1.UC40-1	V1.UC47-4	V1.UC54-4	V1.UC56-1	V1.UC58-4	V1.UC59-0	V1.UC59-4	V1.UC60-0	V1.UC63-0	V1.UC64-0
subjectID	DLF005-IE	DLM006-IE	DOM005-IE	DOM017-IE	MH0192	MH0221	MH0222	MH0234	MH0238	MH0245	MH0246	MH0252	MH0259	MH0260	MH0261	MH0262	MH0264	MH0265	MH0266	MH0268	MH0270	MH0271	MH0280	MH0281	MH0283	MH0284	MH0290	MH0293	MH0297	MH0298	MH0299	MH0301	MH0303	MH0308	MH0309	MH0310	MH0311	MH0314	MH0315	MH0319	MH0323	MH0325	MH0326	MH0327	MH0328	MH0329	MH0330	MH0332	MH0334	MH0335	MH0336	MH0337	MH0338	MH0339	MH0340	MH0341	MH0342	MH0343	MH0345	MH0346	MH0347	MH0348	MH0349	MH0350	MH0351	MH0354	MH0355	MH0356	MH0357	MH0358	MH0359	MH0360	MH0361	MH0362	MH0363	MH0364	MH0365	MH0366	MH0367	MH0368	MH0369	MH0370	MH0371	MH0372	MH0373	MH0374	MH0375	MH0376	MH0377	MH0378	MH0379	MH0381	MH0382	MH0383	MH0384	MH0385	MH0386	MH0387	MH0388	MH0389	MH0390	MH0391	MH0392	MH0393	MH0394	MH0395	MH0396	MH0397	MH0398	MH0399	MH0400	MH0401	MH0402	NLF002-IE	NLF009-IE	NLM009-IE	NLM025-IE	NOF002-IE	NOF007-IE	NOF013-IE	O2.CD1-0	O2.CD1-0-PT	O2.CD2-0	O2.CD2-0-PT	O2.CD3-0-PT	O2.UC1-1	O2.UC11-1	O2.UC12-1	O2.UC13-1	O2.UC14-1	O2.UC15-0	O2.UC15-1	O2.UC15-2	O2.UC16-1	O2.UC17-1	O2.UC18-1	O2.UC19-1	O2.UC20-1	O2.UC2-1	O2.UC21-1	O2.UC22-1	O2.UC23-1	O2.UC24-1	O2.UC26-1	O2.UC27-1	O2.UC28-0	O2.UC28-1	O2.UC28-2	O2.UC29-1	O2.UC30-1	O2.UC3-1	O2.UC31-1	O2.UC32-1	O2.UC35-1	O2.UC36-0	O2.UC36-1	O2.UC37-1	O2.UC38-1	O2.UC40-1	O2.UC4-1	O2.UC41-1	O2.UC43-1	O2.UC44-1	O2.UC46-1	O2.UC47-1	O2.UC48-1	O2.UC5-1	O2.UC6-0	O2.UC6-1	O2.UC6-2	O2.UC7-0	O2.UC7-1	O2.UC8-0	O2.UC8-1	O2.UC8-2	O2.UC9-1	V1.CD1-0-PN	V1.CD1-0-PT	V1.CD12-3	V1.CD1-3-PN	V1.CD20-0	V1.CD2-0-PN	V1.CD2-0-PT	V1.CD3-0-PN	V1.CD3-0-PT	V1.CD32-0	V1.CD32-4	V1.CD3-3-PN	V1.CD37-4	V1.CD40-0	V1.CD4-0-PN	V1.CD4-0-PT	V1.CD43-0	V1.CD44-0	V1.CD44-4	V1.CD45-0	V1.CD46-0	V1.CD48-0	V1.CD49-0	V1.CD50-0	V1.CD5-0-PN	V1.CD51-0	V1.CD52-0	V1.CD53-0	V1.CD54-0	V1.CD55-0	V1.CD6-0-PN	V1.CD6-0-PT	V1.CD7-0-PN	V1.CD8-0-PN	V1.FI01	V1.FI02	V1.FI03	V1.FI04	V1.FI05	V1.FI06	V1.FI07	V1.FI08	V1.FI09	V1.FI10	V1.FI11	V1.FI12	V1.FI13	V1.FI14	V1.FI15	V1.FI16	V1.FI17	V1.FI18	V1.FI19	V1.FI20	V1.FI21	V1.FI22	V1.FI23	V1.FI24	V1.FI25	V1.FI26	V1.FI27	V1.FI28	V1.FI29	V1.FI30	V1.FI31	V1.FI32	V1.FI33	V1.FI34	V1.FI35	V1.FI36	V1.FI37	V1.UC22-1	V1.UC38-4	V1.UC39-4	V1.UC40-1	V1.UC47-4	V1.UC54-4	V1.UC56-1	V1.UC58-4	V1.UC59-0	V1.UC59-4	V1.UC60-0	V1.UC63-0	V1.UC64-0
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
country	CHN	CHN	CHN	CHN	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	CHN	CHN	CHN	CHN	CHN	CHN	CHN	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP	ESP
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
DNA_extraction_kit	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio	MoBio
