	MH0001	MH0002	MH0003	MH0004	MH0005	MH0006	MH0007	MH0008	MH0009	MH0010	MH0011	MH0012	MH0013	MH0014	MH0015	MH0016	MH0017	MH0018	MH0019	MH0020	MH0021	MH0022	MH0023	MH0024	MH0025	MH0026	MH0027	MH0028	MH0030	MH0031	MH0032	MH0033	MH0034	MH0035	MH0036	MH0037	MH0038	MH0039	MH0040	MH0041	MH0042	MH0043	MH0044	MH0045	MH0046	MH0047	MH0048	MH0049	MH0050	MH0051	MH0052	MH0053	MH0054	MH0055	MH0056	MH0057	MH0058	MH0059	MH0060	MH0061	MH0062	MH0063	MH0064	MH0065	MH0066	MH0067	MH0068	MH0069	MH0070	MH0071	MH0072	MH0073	MH0074	MH0075	MH0076	MH0077	MH0078	MH0079	MH0080	MH0081	MH0082	MH0083	MH0084	MH0085	MH0086	MH0087	MH0088	MH0089	MH0090	MH0091	MH0092	MH0093	MH0094	MH0095	MH0096	MH0097	MH0098	MH0099	MH0100	MH0101	MH0102	MH0103	MH0104	MH0105	MH0106	MH0107	MH0108	MH0109	MH0110	MH0111	MH0113	MH0114	MH0115	MH0116	MH0117	MH0118	MH0119	MH0120	MH0121	MH0122	MH0123	MH0124	MH0125	MH0126	MH0127	MH0128	MH0129	MH0130	MH0131	MH0132	MH0133	MH0134	MH0135	MH0136	MH0137	MH0138	MH0139	MH0140	MH0141	MH0142	MH0143	MH0144	MH0145	MH0146	MH0147	MH0148	MH0149	MH0150	MH0151	MH0152	MH0153	MH0154	MH0155	MH0156	MH0157	MH0158	MH0159	MH0160	MH0161	MH0162	MH0163	MH0164	MH0165	MH0166	MH0167	MH0168	MH0169	MH0170	MH0172	MH0173	MH0174	MH0175	MH0176	MH0177	MH0178	MH0179	MH0180	MH0181	MH0182	MH0183	MH0184	MH0185	MH0186	MH0187	MH0188	MH0189	MH0191	MH0193	MH0195	MH0196	MH0197	MH0198	MH0199	MH0200	MH0203	MH0204	MH0205	MH0206	MH0211	MH0212	MH0217	MH0220	MH0224	MH0227	MH0229	MH0230	MH0233	MH0236	MH0239	MH0243	MH0244	MH0247	MH0250	MH0251	MH0253	MH0257	MH0267	MH0272	MH0274	MH0275	MH0276	MH0277	MH0286	MH0287	MH0288	MH0289	MH0292	MH0302	MH0305	MH0307	MH0313	MH0316	MH0318	MH0321	MH0322	MH0333	MH0403	MH0404	MH0405	MH0406	MH0407	MH0408	MH0409	MH0410	MH0411	MH0412	MH0413	MH0414	MH0415	MH0416	MH0417	MH0418	MH0419	MH0420	MH0421	MH0422	MH0423	MH0424	MH0425	MH0426	MH0427	MH0428	MH0429	MH0430	MH0431	MH0432	MH0433	MH0434	MH0435	MH0436	MH0437	MH0438	MH0439	MH0440	MH0441	MH0442	MH0443	MH0444	MH0445	MH0446	MH0447	MH0448	MH0450	MH0451	MH0452	MH0453	MH0454	MH0455	MH0456	MH0457	MH0458	MH0462
subjectID	MH0001	MH0002	MH0003	MH0004	MH0005	MH0006	MH0007	MH0008	MH0009	MH0010	MH0011	MH0012	MH0013	MH0014	MH0015	MH0016	MH0017	MH0018	MH0019	MH0020	MH0021	MH0022	MH0023	MH0024	MH0025	MH0026	MH0027	MH0028	MH0030	MH0031	MH0032	MH0033	MH0034	MH0035	MH0036	MH0037	MH0038	MH0039	MH0040	MH0041	MH0042	MH0043	MH0044	MH0045	MH0046	MH0047	MH0048	MH0049	MH0050	MH0051	MH0052	MH0053	MH0054	MH0055	MH0056	MH0057	MH0058	MH0059	MH0060	MH0061	MH0062	MH0063	MH0064	MH0065	MH0066	MH0067	MH0068	MH0069	MH0070	MH0071	MH0072	MH0073	MH0074	MH0075	MH0076	MH0077	MH0078	MH0079	MH0080	MH0081	MH0082	MH0083	MH0084	MH0085	MH0086	MH0087	MH0088	MH0089	MH0090	MH0091	MH0092	MH0093	MH0094	MH0095	MH0096	MH0097	MH0098	MH0099	MH0100	MH0101	MH0102	MH0103	MH0104	MH0105	MH0106	MH0107	MH0108	MH0109	MH0110	MH0111	MH0113	MH0114	MH0115	MH0116	MH0117	MH0118	MH0119	MH0120	MH0121	MH0122	MH0123	MH0124	MH0125	MH0126	MH0127	MH0128	MH0129	MH0130	MH0131	MH0132	MH0133	MH0134	MH0135	MH0136	MH0137	MH0138	MH0139	MH0140	MH0141	MH0142	MH0143	MH0144	MH0145	MH0146	MH0147	MH0148	MH0149	MH0150	MH0151	MH0152	MH0153	MH0154	MH0155	MH0156	MH0157	MH0158	MH0159	MH0160	MH0161	MH0162	MH0163	MH0164	MH0165	MH0166	MH0167	MH0168	MH0169	MH0170	MH0172	MH0173	MH0174	MH0175	MH0176	MH0177	MH0178	MH0179	MH0180	MH0181	MH0182	MH0183	MH0184	MH0185	MH0186	MH0187	MH0188	MH0189	MH0191	MH0193	MH0195	MH0196	MH0197	MH0198	MH0199	MH0200	MH0203	MH0204	MH0205	MH0206	MH0211	MH0212	MH0217	MH0220	MH0224	MH0227	MH0229	MH0230	MH0233	MH0236	MH0239	MH0243	MH0244	MH0247	MH0250	MH0251	MH0253	MH0257	MH0267	MH0272	MH0274	MH0275	MH0276	MH0277	MH0286	MH0287	MH0288	MH0289	MH0292	MH0302	MH0305	MH0307	MH0313	MH0316	MH0318	MH0321	MH0322	MH0333	MH0403	MH0404	MH0405	MH0406	MH0407	MH0408	MH0409	MH0410	MH0411	MH0412	MH0413	MH0414	MH0415	MH0416	MH0417	MH0418	MH0419	MH0420	MH0421	MH0422	MH0423	MH0424	MH0425	MH0426	MH0427	MH0428	MH0429	MH0430	MH0431	MH0432	MH0433	MH0434	MH0435	MH0436	MH0437	MH0438	MH0439	MH0440	MH0441	MH0442	MH0443	MH0444	MH0445	MH0446	MH0447	MH0448	MH0450	MH0451	MH0452	MH0453	MH0454	MH0455	MH0456	MH0457	MH0458	MH0462
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
age_category	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult
BMI	25.6	27.3	33.2	31.2	21.7	22.4	33.6	24.3	29.0	33.3	22.3	32.1	20.5	38.5	25.5	30.5	21.8	31.4	20.0	33.2	25.4	24.4	31.7	22.7	34.2	37.3	23.1	22.7	35.2	22.3	35.3	32.0	40.0	22.7	30.7	24.0	22.0	23.1	20.9	23.2	24.5	23.7	24.5	25.1	23.7	30.4	19.4	35.5	25.1	23.2	33.2	32.7	20.3	30.3	25.3	33.0	22.0	33.3	23.5	30.0	37.5	30.2	23.2	28.2	20.8	21.1	29.0	36.7	22.7	25.4	40.2	32.5	20.5	30.6	34.8	24.9	36.9	20.0	18.6	38.0	22.6	30.6	31.7	36.5	21.6	23.0	31.6	22.5	28.2	31.1	35.5	34.5	33.5	38.7	40.2	34.7	23.9	32.4	30.2	32.3	31.3	30.0	28.9	32.5	30.1	19.6	34.0	29.6	31.6	31.1	23.1	31.4	23.9	30.9	34.0	31.5	42.9	30.7	35.1	30.5	31.5	33.7	22.1	21.2	32.3	36.5	28.9	33.3	31.2	24.0	22.7	32.1	22.6	30.9	30.2	31.1	27.6	31.3	30.5	29.4	28.7	30.9	25.7	25.7	35.9	42.0	22.4	36.6	23.0	34.6	32.3	36.1	31.8	36.1	38.6	30.4	34.0	31.8	22.0	33.5	32.7	25.2	37.2	32.0	41.9	41.2	25.8	32.6	31.3	29.2	36.2	24.5	31.4	33.9	21.9	24.4	30.1	22.7	37.7	23.3	41.3	31.3	34.8	36.7	32.1	43.5	31.1	24.5	30.9	46.6	23.9	35.4	45.7	24.8	22.8	37.2	41.2	25.0	32.7	23.5	33.4	37.2	22.3	32.0	30.2	32.4	31.6	37.5	34.3	34.4	32.7	22.5	23.3	24.7	33.8	30.7	30.2	21.2	24.4	24.1	30.2	20.3	24.5	35.1	21.1	30.6	22.1	23.6	33.0	19.5	33.5	37.0	18.1	34.9	21.9	32.4	35.4	23.5	23.4	33.7	30.6	20.1	23.4	31.2	31.6	36.7	31.3	36.9	23.3	29.0	32.0	34.5	23.5	19.0	30.4	31.1	30.7	21.8	20.8	40.2	34.4	25.2	31.9	30.3	34.9	19.9	34.0	23.6	29.5	38.3	20.2	22.7	23.3	32.1	34.9	36.4	39.1	31.9	20.8	31.4	24.0	24.0	40.7	33.3	35.4	32.9	22.9	31.3	25.2	23.7	33.4	36.2
country	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK	DNK
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
number_reads	 45014922	 46564054	 50381662	 40277026	 39402462	161145974	 36951094	 38154256	 58446132	 39167030	 58492736	186050798	 40004484	 56295656	 33012850	 54391486	 36152668	 36577566	 38853986	 45794576	 26254116	 37108408	 37780892	 54906872	 55597758	 37481422	 32375364	 55147450	 51598890	 55512226	 50094084	 44993368	 37399690	 49255994	 47700842	 42030812	 45459094	 42715114	 44247598	 44369418	 43406328	 49336750	 44861872	 49429392	 35794106	 26929148	 26967604	 30653092	 47789610	 25954644	 28572586	 43280824	 42258418	 47108026	 49134840	 43046732	 49812516	 41014368	 41109952	 44444004	 36512292	 45957518	 44727782	 44573964	 36112910	 44483444	 43864016	 69711626	 47913662	 46234872	 49276126	 47228584	 46028996	 47063604	 30642366	 49649746	 26012006	 27414950	 46584102	 47850158	 48342310	 47902174	 53561048	 49432344	 55430592	 63207452	 63915880	 58781294	 55336872	 62462910	 83848974	 58782054	 68315370	 55253594	 66517084	 57085690	 75593728	 59039162	 71308972	 58483976	 58830590	 63505154	 77929132	 63784510	 81706032	 80721308	 65205682	 65783028	 66082082	 61923532	 55011540	 61669500	 55119888	 62436508	 59372568	 59291100	 63363190	 59954722	 59394708	 61291372	 58109206	 55503418	 60358690	 56779510	 52676404	 61219810	 55066474	 59978710	 61160430	 59979754	 59204228	 56533614	 55141002	 58240556	 52914788	 60425092	 71831300	 70427028	 70759866	 67012594	 67997802	 70338286	 66595596	 57592966	 62261122	 64804260	 58869090	 67588262	 63513832	 60898546	 61157996	 59646896	 59466402	 59688950	 58429724	 59409144	 58836624	 56395546	 66564212	 68547286	 61347790	 63093720	 63102046	 55584816	 58559028	 59111322	 61639412	 69993022	 66181294	 66887276	 65626772	 65331138	 61901204	 54546370	 64217132	 66357610	 59658146	 69823068	 74372028	 76565854	 67762098	 73808044	 74388704	 67283592	 90882994	 71018904	 76050120	 83663740	 88854390	 95619960	 93076782	 96817078	106852124	 76670250	 99289284	103827288	 86385716	 97854620	117066734	100321828	 75873186	 92747932	 92940546	117873014	107338874	 77164104	 73553162	 89250392	103705384	 88973624	 92188930	104778334	102848186	117735108	 75367948	 95332652	 95313804	 93178044	115683988	100315068	 93420656	107367954	 76108014	 94435574	 87272504	107825622	 75586080	 88723696	 72051324	 89611704	 71564400	 88148550	 88681082	 90135120	 89840238	 80140744	 87625872	 80453800	 85952788	 92775624	 93457578	 96057212	 84908988	 81239906	 93478090	 87068936	 80848150	 77472300	 80011728	 91695516	 98884974	 88543770	101560248	 85828048	 88583124	 79482320	 82395456	 79036038	 92673880	 91294522	 92421696	 99861330	 64860322	 64825116	 89069102	 91767488	 84668092	 94429580	106319324	102315606	 98666990	 96413258	 98064204	 96794646	 90292896	 98897552	 97466924	 98712780	 92037010	117074346	109244906	 90147200	 91964818	 85941302	 99801936	 86737890	 89107084	 98098766	 88114284	 95130010	 87603926	104533724
